cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0030940,C1819995,ADMINISTERED_TO,Peptide Hydrolases,Host Cell,aapp,celc,1,ADMINISTERED_TO_AAPPadtoCELC
C0042736,C1819995,ADMINISTERED_TO,Viral Proteins,Host Cell,aapp,celc,1,ADMINISTERED_TO_AAPPadtoCELC
C0052051,C1819995,ADMINISTERED_TO,"V antigen, Yersinia pestis",Host Cell,aapp,celc,1,ADMINISTERED_TO_AAPPadtoCELC
C0062529,C1819995,ADMINISTERED_TO,hepatitis B virus X protein,Host Cell,aapp,celc,1,ADMINISTERED_TO_AAPPadtoCELC
C0063690,C1167395,ADMINISTERED_TO,Integrase,Host (organism),aapp,celc,1,ADMINISTERED_TO_AAPPadtoCELC
C0064779,C1819995,ADMINISTERED_TO,leu-13 antigen,Host Cell,aapp,celc,1,ADMINISTERED_TO_AAPPadtoCELC
C0065827,C1167395,ADMINISTERED_TO,Measles Virus Nucleoprotein,Host (organism),aapp,celc,1,ADMINISTERED_TO_AAPPadtoCELC
C0214743,C1167395,ADMINISTERED_TO,Interleukin-13,Host (organism),aapp,celc,1,ADMINISTERED_TO_AAPPadtoCELC
C0597603,C1167395,ADMINISTERED_TO,translation factor,Host (organism),aapp,celc,1,ADMINISTERED_TO_AAPPadtoCELC
C1335439,C1167395,ADMINISTERED_TO,Polymerase,Host (organism),aapp,celc,1,ADMINISTERED_TO_AAPPadtoCELC
