cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001271,C0014792,ADMINISTERED_TO,Actins,Erythrocytes,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0002199,C0022567,ADMINISTERED_TO,Interferon-alpha,keratinocyte,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0002199,C0039194,ADMINISTERED_TO,Interferon-alpha,T-Lymphocyte,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0003315,ADMINISTERED_TO,Antibodies,Antigen-Presenting Cells,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0007600,ADMINISTERED_TO,Antibodies,Cultured Cell Line,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0009013,ADMINISTERED_TO,Antibodies,Clone Cells,aapp,cell,2,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0011306,ADMINISTERED_TO,Antibodies,Dendritic Cells,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0014597,ADMINISTERED_TO,Antibodies,Epithelial Cells,aapp,cell,2,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0016030,ADMINISTERED_TO,Antibodies,Fibroblasts,aapp,cell,2,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0018873,ADMINISTERED_TO,Antibodies,HeLa Cells,aapp,cell,3,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0023516,ADMINISTERED_TO,Antibodies,Leukocytes,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0027882,ADMINISTERED_TO,Antibodies,Neurons,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0028944,ADMINISTERED_TO,Antibodies,Oligodendroglia,aapp,cell,2,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0029974,ADMINISTERED_TO,Antibodies,Ovum,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0036387,ADMINISTERED_TO,Antibodies,Schwann Cells,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0039194,ADMINISTERED_TO,Antibodies,T-Lymphocyte,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0042542,ADMINISTERED_TO,Antibodies,Vero Cells,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0206131,ADMINISTERED_TO,Antibodies,Adipocytes,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0206152,ADMINISTERED_TO,Antibodies,Cell Transplants,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0221284,ADMINISTERED_TO,Antibodies,Leptocyte,aapp,cell,8,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0227525,ADMINISTERED_TO,Antibodies,Hepatocyte,aapp,cell,3,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0242598,ADMINISTERED_TO,Antibodies,LLC-PK1 Cells,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0242629,ADMINISTERED_TO,Antibodies,CD8-Positive T-Lymphocytes,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0312738,ADMINISTERED_TO,Antibodies,Pre-B Lymphocytes,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0334227,ADMINISTERED_TO,Antibodies,"Tumor cells, malignant",aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0376448,ADMINISTERED_TO,Antibodies,Jurkat Cells,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0598829,ADMINISTERED_TO,Antibodies,Madin Darby Canine Kidney Cells,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0600432,ADMINISTERED_TO,Antibodies,K562 Cells,aapp,cell,2,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0677626,ADMINISTERED_TO,Antibodies,hepatoma cell,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0682542,ADMINISTERED_TO,Antibodies,ciliated cell,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C0806036,ADMINISTERED_TO,Antibodies,Renal epithelial cell,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
C0003241,C1182611,ADMINISTERED_TO,Antibodies,Conjunctival epithelial cell,aapp,cell,1,ADMINISTERED_TO_AAPPadtoCELL
