cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002679,C0042542,ADMINISTERED_TO,Amphotericin B,Vero Cells,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0010572,C1257858,ADMINISTERED_TO,Cycloheximide,COS-7 Cells,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0013089,C0334227,ADMINISTERED_TO,Doxorubicin,"Tumor cells, malignant",antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0013089,C0596890,ADMINISTERED_TO,Doxorubicin,MCF-7 Cells,antb,cell,3,ADMINISTERED_TO_ANTBadtoCELL
C0016095,C0085087,ADMINISTERED_TO,Filipin,3T3 Cells,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0026408,C1441322,ADMINISTERED_TO,Monensin,Viable cells,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0030840,C2936239,ADMINISTERED_TO,Penicillin V,HEK293 Cells,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0030842,C0042542,ADMINISTERED_TO,Penicillins,Vero Cells,antb,cell,2,ADMINISTERED_TO_ANTBadtoCELL
C0034145,C0598091,ADMINISTERED_TO,Puromycin,stable cell line,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0034145,C0598829,ADMINISTERED_TO,Puromycin,Madin Darby Canine Kidney Cells,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0038425,C0024432,ADMINISTERED_TO,Streptomycin,macrophage,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0038425,C0042542,ADMINISTERED_TO,Streptomycin,Vero Cells,antb,cell,2,ADMINISTERED_TO_ANTBadtoCELL
C0052918,C0221284,ADMINISTERED_TO,bafilomycin A,Leptocyte,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0056224,C0221284,ADMINISTERED_TO,concanamycin A,Leptocyte,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0310367,C0221284,ADMINISTERED_TO,Today,Leptocyte,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C0812405,C0042542,ADMINISTERED_TO,Fungizone,Vero Cells,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
C3854019,C0042542,ADMINISTERED_TO,Gentamicin,Vero Cells,antb,cell,1,ADMINISTERED_TO_ANTBadtoCELL
