cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001041,C4330475,ADMINISTERED_TO,Acetylcholine,Immune Cell,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0007271,C1512977,ADMINISTERED_TO,Carotenoids,Mammalian Cell,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0008013,C0039215,ADMINISTERED_TO,Chemotactic Factors,CD4 Positive T Lymphocytes,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0008013,C1321301,ADMINISTERED_TO,Chemotactic Factors,Peripheral blood mononuclear cell (cell),bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0008377,C0221284,ADMINISTERED_TO,Cholesterol,Leptocyte,bacs,cell,2,ADMINISTERED_TO_BACSadtoCELL
C0008466,C0596208,ADMINISTERED_TO,Chondroitin Sulfates,brain cell,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0010167,C0015161,ADMINISTERED_TO,Cosmids,Eukaryotic Cells,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0010167,C1513095,ADMINISTERED_TO,Cosmids,Melanoma Cell,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0010558,C0227525,ADMINISTERED_TO,Cyclodextrins,Hepatocyte,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0003315,ADMINISTERED_TO,DNA,Antigen-Presenting Cells,bacs,cell,2,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0007600,ADMINISTERED_TO,DNA,Cultured Cell Line,bacs,cell,2,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0009013,ADMINISTERED_TO,DNA,Clone Cells,bacs,cell,2,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0011306,ADMINISTERED_TO,DNA,Dendritic Cells,bacs,cell,3,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0016030,ADMINISTERED_TO,DNA,Fibroblasts,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0017471,ADMINISTERED_TO,DNA,Germ Cells,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0018873,ADMINISTERED_TO,DNA,HeLa Cells,bacs,cell,3,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0020204,ADMINISTERED_TO,DNA,Hybridomas,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0022567,ADMINISTERED_TO,DNA,keratinocyte,bacs,cell,2,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0024432,ADMINISTERED_TO,DNA,macrophage,bacs,cell,2,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0085080,ADMINISTERED_TO,DNA,Chinese Hamster Ovary Cell,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0221284,ADMINISTERED_TO,DNA,Leptocyte,bacs,cell,3,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0227525,ADMINISTERED_TO,DNA,Hepatocyte,bacs,cell,2,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0334227,ADMINISTERED_TO,DNA,"Tumor cells, malignant",bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0376702,ADMINISTERED_TO,DNA,COS Cells,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0553257,ADMINISTERED_TO,DNA,Epithelial cell of renal tubule,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0596981,ADMINISTERED_TO,DNA,Muscle Cells,bacs,cell,2,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0598829,ADMINISTERED_TO,DNA,Madin Darby Canine Kidney Cells,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C0814995,ADMINISTERED_TO,DNA,Skin cell,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C1113654,ADMINISTERED_TO,DNA,Neural Stem Cells,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
C0012854,C1183428,ADMINISTERED_TO,DNA,Solocyte,bacs,cell,1,ADMINISTERED_TO_BACSadtoCELL
