cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001617,C0031831,ADMINISTERED_TO,Adrenal Cortex Hormones,Physicians,horm,humn,1,ADMINISTERED_TO_HORMadtoHUMN
C0001617,C0206194,ADMINISTERED_TO,Adrenal Cortex Hormones,Survivors,horm,humn,1,ADMINISTERED_TO_HORMadtoHUMN
C0001617,C0237433,ADMINISTERED_TO,Adrenal Cortex Hormones,Pediatrician (occupation),horm,humn,1,ADMINISTERED_TO_HORMadtoHUMN
C0001617,C0242444,ADMINISTERED_TO,Adrenal Cortex Hormones,Population at Risk,horm,humn,1,ADMINISTERED_TO_HORMadtoHUMN
C0001617,C0871685,ADMINISTERED_TO,Adrenal Cortex Hormones,Clinician,horm,humn,2,ADMINISTERED_TO_HORMadtoHUMN
C0014563,C0008059,ADMINISTERED_TO,Epinephrine,Child,horm,humn,3,ADMINISTERED_TO_HORMadtoHUMN
C0014563,C0031831,ADMINISTERED_TO,Epinephrine,Physicians,horm,humn,2,ADMINISTERED_TO_HORMadtoHUMN
C0017710,C0008059,ADMINISTERED_TO,Glucocorticoids,Child,horm,humn,1,ADMINISTERED_TO_HORMadtoHUMN
C0025644,C0009932,ADMINISTERED_TO,Methimazole,Control Groups,horm,humn,1,ADMINISTERED_TO_HORMadtoHUMN
C0025815,C1709854,ADMINISTERED_TO,Methylprednisolone,Recipient,horm,humn,1,ADMINISTERED_TO_HORMadtoHUMN
C0065864,C0043210,ADMINISTERED_TO,medroxyprogesterone acetate,Woman,horm,humn,2,ADMINISTERED_TO_HORMadtoHUMN
C2698934,C1516213,ADMINISTERED_TO,anamorelin,Cancer Patient,horm,humn,1,ADMINISTERED_TO_HORMadtoHUMN
