cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0012984,ADMINISTERED_TO,Immunologic Adjuvants,Canis familiaris,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0001551,C0018019,ADMINISTERED_TO,Immunologic Adjuvants,Capra hircus,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0001551,C0025914,ADMINISTERED_TO,Immunologic Adjuvants,House mice,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0001551,C0025919,ADMINISTERED_TO,Immunologic Adjuvants,"Mice, Inbred BALB C",imft,mamm,4,ADMINISTERED_TO_IMFTadtoMAMM
C0001551,C0025936,ADMINISTERED_TO,Immunologic Adjuvants,"Mice, Transgenic",imft,mamm,2,ADMINISTERED_TO_IMFTadtoMAMM
C0001551,C0026809,ADMINISTERED_TO,Immunologic Adjuvants,Mus,imft,mamm,12,ADMINISTERED_TO_IMFTadtoMAMM
C0001551,C0039005,ADMINISTERED_TO,Immunologic Adjuvants,Family suidae,imft,mamm,4,ADMINISTERED_TO_IMFTadtoMAMM
C0001551,C0324889,ADMINISTERED_TO,Immunologic Adjuvants,Old World rabbit,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0002092,C0026809,ADMINISTERED_TO,Allergens,Mus,imft,mamm,2,ADMINISTERED_TO_IMFTadtoMAMM
C0003316,C0025919,ADMINISTERED_TO,Epitopes,"Mice, Inbred BALB C",imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0003316,C0025922,ADMINISTERED_TO,Epitopes,"Mice, Inbred CBA",imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0003316,C0026809,ADMINISTERED_TO,Epitopes,Mus,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0003316,C0237798,ADMINISTERED_TO,Epitopes,Nonhuman primate,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0003339,C0034693,ADMINISTERED_TO,Surface Antigens,Rattus norvegicus,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0003372,C0026809,ADMINISTERED_TO,Antilymphocyte Serum,Mus,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0004632,C0019944,ADMINISTERED_TO,Bacterial Vaccines,Equus caballus,imft,mamm,2,ADMINISTERED_TO_IMFTadtoMAMM
C0004632,C0026809,ADMINISTERED_TO,Bacterial Vaccines,Mus,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0004632,C0684075,ADMINISTERED_TO,Bacterial Vaccines,Adult female pig having farrowed,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0004886,C0019944,ADMINISTERED_TO,BCG Vaccine,Equus caballus,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0012551,C0026809,ADMINISTERED_TO,"diphtheria toxoid vaccine, inactivated",Mus,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0016712,C0025914,ADMINISTERED_TO,Freund's Adjuvant,House mice,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0016712,C0025919,ADMINISTERED_TO,Freund's Adjuvant,"Mice, Inbred BALB C",imft,mamm,5,ADMINISTERED_TO_IMFTadtoMAMM
C0016712,C0324547,ADMINISTERED_TO,Freund's Adjuvant,New Zealand Rabbits,imft,mamm,2,ADMINISTERED_TO_IMFTadtoMAMM
C0016712,C0324889,ADMINISTERED_TO,Freund's Adjuvant,Old World rabbit,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0019168,C0026809,ADMINISTERED_TO,Hepatitis B Surface Antigens,Mus,imft,mamm,2,ADMINISTERED_TO_IMFTadtoMAMM
C0021403,C0019944,ADMINISTERED_TO,Influenza virus vaccine,Equus caballus,imft,mamm,2,ADMINISTERED_TO_IMFTadtoMAMM
C0021403,C0026809,ADMINISTERED_TO,Influenza virus vaccine,Mus,imft,mamm,6,ADMINISTERED_TO_IMFTadtoMAMM
C0021403,C0039005,ADMINISTERED_TO,Influenza virus vaccine,Family suidae,imft,mamm,2,ADMINISTERED_TO_IMFTadtoMAMM
C0021403,C0324889,ADMINISTERED_TO,Influenza virus vaccine,Old World rabbit,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0021403,C1521751,ADMINISTERED_TO,Influenza virus vaccine,C57BL/6 Mouse,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0032595,C0026809,ADMINISTERED_TO,"Polysaccharides, Bacterial",Mus,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0034496,C0012984,ADMINISTERED_TO,Rabies Vaccines,Canis familiaris,imft,mamm,2,ADMINISTERED_TO_IMFTadtoMAMM
C0038168,C0026809,ADMINISTERED_TO,Staphylococcal Vaccines,Mus,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0042210,C0002186,ADMINISTERED_TO,Vaccines,Vicugna pacos,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0042210,C0006801,ADMINISTERED_TO,Vaccines,Camels,imft,mamm,2,ADMINISTERED_TO_IMFTadtoMAMM
C0042210,C0007450,ADMINISTERED_TO,Vaccines,Felis catus,imft,mamm,6,ADMINISTERED_TO_IMFTadtoMAMM
C0042210,C0007452,ADMINISTERED_TO,Vaccines,Cattle,imft,mamm,11,ADMINISTERED_TO_IMFTadtoMAMM
C0042210,C0008139,ADMINISTERED_TO,Vaccines,Chiroptera,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
C0042210,C0012984,ADMINISTERED_TO,Vaccines,Canis familiaris,imft,mamm,11,ADMINISTERED_TO_IMFTadtoMAMM
C0042210,C0015859,ADMINISTERED_TO,Vaccines,Ferrets,imft,mamm,1,ADMINISTERED_TO_IMFTadtoMAMM
