cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012256,C0012984,ADMINISTERED_TO,Digitonin,Canis familiaris,irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
C0012256,C0025914,ADMINISTERED_TO,Digitonin,House mice,irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
C0012256,C0026447,ADMINISTERED_TO,Digitonin,Monkeys,irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
C0012256,C0034693,ADMINISTERED_TO,Digitonin,Rattus norvegicus,irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
C0022005,C0012984,ADMINISTERED_TO,Iohexol,Canis familiaris,irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
C0033470,C0026809,ADMINISTERED_TO,Propidium Iodide,Mus,irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
C0085216,C0025932,ADMINISTERED_TO,Fluorescein-5-isothiocyanate,"Mice, Nude",irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
C0164836,C0007450,ADMINISTERED_TO,histopaque,Felis catus,irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
C0250829,C0025925,ADMINISTERED_TO,cyanine dye 5,"Mice, Inbred ICR",irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
C0250829,C0026809,ADMINISTERED_TO,cyanine dye 5,Mus,irda,mamm,3,ADMINISTERED_TO_IRDAadtoMAMM
C0253711,C0026809,ADMINISTERED_TO,Lipofectamine,Mus,irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
C0752397,C0324145,ADMINISTERED_TO,"3,3'-dihexaoxycarbocyanine iodide",Equus asinus,irda,mamm,1,ADMINISTERED_TO_IRDAadtoMAMM
