cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012924,C0015161,ADMINISTERED_TO,"DNA, Bacterial",Eukaryotic Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0012937,C0018873,ADMINISTERED_TO,"DNA, Superhelical",HeLa Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0012939,C0007600,ADMINISTERED_TO,"DNA, Viral",Cultured Cell Line,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0012939,C0037890,ADMINISTERED_TO,"DNA, Viral",Spheroplasts,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0012939,C2936239,ADMINISTERED_TO,"DNA, Viral",HEK293 Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0018346,C0024432,ADMINISTERED_TO,Guanosine Monophosphate,macrophage,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0023978,C0162597,ADMINISTERED_TO,Long Terminal Repeat,Stromal Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0023978,C2936239,ADMINISTERED_TO,Long Terminal Repeat,HEK293 Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0028630,C0009013,ADMINISTERED_TO,Nucleotides,Clone Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0028953,C0026473,ADMINISTERED_TO,Oligonucleotides,Monocytes,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0028953,C0042542,ADMINISTERED_TO,Oligonucleotides,Vero Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0028953,C0085087,ADMINISTERED_TO,Oligonucleotides,3T3 Cells,nnon,cell,2,ADMINISTERED_TO_NNONadtoCELL
C0028953,C1512977,ADMINISTERED_TO,Oligonucleotides,Mammalian Cell,nnon,cell,2,ADMINISTERED_TO_NNONadtoCELL
C0033755,C0005773,ADMINISTERED_TO,Proviruses,Blood Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0033755,C2936239,ADMINISTERED_TO,Proviruses,HEK293 Cells,nnon,cell,4,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0007600,ADMINISTERED_TO,"RNA, Viral",Cultured Cell Line,nnon,cell,3,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0009013,ADMINISTERED_TO,"RNA, Viral",Clone Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0011306,ADMINISTERED_TO,"RNA, Viral",Dendritic Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0016030,ADMINISTERED_TO,"RNA, Viral",Fibroblasts,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0018873,ADMINISTERED_TO,"RNA, Viral",HeLa Cells,nnon,cell,2,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0024432,ADMINISTERED_TO,"RNA, Viral",macrophage,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0033731,ADMINISTERED_TO,"RNA, Viral",Protoplasts,nnon,cell,2,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0042542,ADMINISTERED_TO,"RNA, Viral",Vero Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0221284,ADMINISTERED_TO,"RNA, Viral",Leptocyte,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0598829,ADMINISTERED_TO,"RNA, Viral",Madin Darby Canine Kidney Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0035736,C0677626,ADMINISTERED_TO,"RNA, Viral",hepatoma cell,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0035736,C1183428,ADMINISTERED_TO,"RNA, Viral",Solocyte,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0035736,C1512977,ADMINISTERED_TO,"RNA, Viral",Mammalian Cell,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0035736,C2330894,ADMINISTERED_TO,"RNA, Viral",Retinal pigment epithelial cell,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0045143,C0018873,ADMINISTERED_TO,"2',5'-oligoadenylate",HeLa Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0045186,C1883178,ADMINISTERED_TO,2'-deoxyadenosine triphosphate,Subclone,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0047569,C4505192,ADMINISTERED_TO,3-methyladenine,THP-1 Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0053697,C0022688,ADMINISTERED_TO,"bis(3',5')-cyclic diguanylic acid",Natural Killer Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0053697,C0024432,ADMINISTERED_TO,"bis(3',5')-cyclic diguanylic acid",macrophage,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0067182,C2717940,ADMINISTERED_TO,N(4)-hydroxycytidine,Hep G2 Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0069417,C0017471,ADMINISTERED_TO,oligo (dT),Germ Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0069417,C0033731,ADMINISTERED_TO,oligo (dT),Protoplasts,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0071360,C2936239,ADMINISTERED_TO,"5'-Inosinic acid, 2'-deoxy-2'-fluoro-, homopolymer",HEK293 Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0071404,C0024432,ADMINISTERED_TO,poly(dA),macrophage,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0073432,C0598829,ADMINISTERED_TO,"RNA, circular",Madin Darby Canine Kidney Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0140652,C1321301,ADMINISTERED_TO,RNA II,Peripheral blood mononuclear cell (cell),nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0005773,ADMINISTERED_TO,Oligonucleotide Primers,Blood Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0007600,ADMINISTERED_TO,Oligonucleotide Primers,Cultured Cell Line,nnon,cell,3,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0009013,ADMINISTERED_TO,Oligonucleotide Primers,Clone Cells,nnon,cell,18,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0018873,ADMINISTERED_TO,Oligonucleotide Primers,HeLa Cells,nnon,cell,2,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0024432,ADMINISTERED_TO,Oligonucleotide Primers,macrophage,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0033731,ADMINISTERED_TO,Oligonucleotide Primers,Protoplasts,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0039194,ADMINISTERED_TO,Oligonucleotide Primers,T-Lymphocyte,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0042542,ADMINISTERED_TO,Oligonucleotide Primers,Vero Cells,nnon,cell,5,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0553257,ADMINISTERED_TO,Oligonucleotide Primers,Epithelial cell of renal tubule,nnon,cell,2,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0598829,ADMINISTERED_TO,Oligonucleotide Primers,Madin Darby Canine Kidney Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0206415,C0682523,ADMINISTERED_TO,Oligonucleotide Primers,human cell line,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0206415,C1257858,ADMINISTERED_TO,Oligonucleotide Primers,COS-7 Cells,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0206415,C1321301,ADMINISTERED_TO,Oligonucleotide Primers,Peripheral blood mononuclear cell (cell),nnon,cell,2,ADMINISTERED_TO_NNONadtoCELL
C0206415,C1514716,ADMINISTERED_TO,Oligonucleotide Primers,Raji Cell,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0206415,C1518997,ADMINISTERED_TO,Oligonucleotide Primers,Peripheral Blood Lymphocyte,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
C0206415,C1883178,ADMINISTERED_TO,Oligonucleotide Primers,Subclone,nnon,cell,6,ADMINISTERED_TO_NNONadtoCELL
C0206415,C1953382,ADMINISTERED_TO,Oligonucleotide Primers,Forward primer,nnon,cell,1,ADMINISTERED_TO_NNONadtoCELL
