cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002771,C0037179,ADMINISTERED_TO,Analgesics,Unmarried person,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0002842,C0043210,ADMINISTERED_TO,Androgen Antagonists,Woman,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0003205,C0008059,ADMINISTERED_TO,"Anti-Infective Agents, Local",Child,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0003205,C0282122,ADMINISTERED_TO,"Anti-Infective Agents, Local",Respondents,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0003308,C0021270,ADMINISTERED_TO,Antifungal Agents,Infant,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0003374,C0033011,ADMINISTERED_TO,Antimalarials,Pregnant Women,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0003419,C0008059,ADMINISTERED_TO,Antipyretics,Child,phsu,humn,2,ADMINISTERED_TO_PHSUadtoHUMN
C0003419,C0030551,ADMINISTERED_TO,Antipyretics,parent,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0003419,C0450048,ADMINISTERED_TO,Antipyretics,Passenger,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0003419,C0870668,ADMINISTERED_TO,Antipyretics,hospitalized patients,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0003451,C0026591,ADMINISTERED_TO,Antiviral Agents,Mother (person),phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0003451,C0031831,ADMINISTERED_TO,Antiviral Agents,Physicians,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0003451,C0033011,ADMINISTERED_TO,Antiviral Agents,Pregnant Women,phsu,humn,2,ADMINISTERED_TO_PHSUadtoHUMN
C0003451,C1706077,ADMINISTERED_TO,Antiviral Agents,user - individual,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0005525,C0031831,ADMINISTERED_TO,Biological Response Modifiers,Physicians,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0006233,C0026591,ADMINISTERED_TO,Bromodeoxyuridine,Mother (person),phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0006280,C0008059,ADMINISTERED_TO,Bronchodilator Agents,Child,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0007680,C0031831,ADMINISTERED_TO,Central Nervous System Agents,Physicians,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0009871,C0043210,ADMINISTERED_TO,Contraceptive Agents,Woman,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0009905,C0043210,ADMINISTERED_TO,"Contraceptives, Oral",Woman,phsu,humn,3,ADMINISTERED_TO_PHSUadtoHUMN
C0009907,C0043210,ADMINISTERED_TO,"Contraceptives, Oral, Hormonal",Woman,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0011777,C0008059,ADMINISTERED_TO,Dexamethasone,Child,phsu,humn,2,ADMINISTERED_TO_PHSUadtoHUMN
C0011777,C0206194,ADMINISTERED_TO,Dexamethasone,Survivors,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0012544,C0031831,ADMINISTERED_TO,Diphosphonates,Physicians,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0012798,C0008059,ADMINISTERED_TO,Diuretics,Child,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0012798,C0871463,ADMINISTERED_TO,Diuretics,surgical patients,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0013230,C1708335,ADMINISTERED_TO,Investigational New Drugs,Healthy Volunteers,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0014695,C0008059,ADMINISTERED_TO,Ergocalciferol,Child,phsu,humn,2,ADMINISTERED_TO_PHSUadtoHUMN
C0022322,C0221460,ADMINISTERED_TO,Ivermectin,Farmers,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0028460,C0011441,ADMINISTERED_TO,Novocaine,Dentist,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0028460,C0582175,ADMINISTERED_TO,Novocaine,Surgeon,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0035525,C0033011,ADMINISTERED_TO,Ribavirin,Pregnant Women,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0035525,C0870668,ADMINISTERED_TO,Ribavirin,hospitalized patients,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0035525,C4287879,ADMINISTERED_TO,Ribavirin,Schoolmate,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0036557,C0031323,ADMINISTERED_TO,Sedatives,Pharmacist,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0050063,C0851286,ADMINISTERED_TO,8-chloro-cyclic adenosine monophosphate,Staff,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0062185,C0008059,ADMINISTERED_TO,heliox,Child,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0064113,C0242856,ADMINISTERED_TO,Itraconazole,Veterinarian,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0069590,C0008059,ADMINISTERED_TO,ORALIT,Child,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0078516,C0008059,ADMINISTERED_TO,World Health Organization oral rehydration solution,Child,phsu,humn,1,ADMINISTERED_TO_PHSUadtoHUMN
C0205758,C0008059,ADMINISTERED_TO,Racepinephrine,Child,phsu,humn,3,ADMINISTERED_TO_PHSUadtoHUMN
