cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007012,C0038561,AFFECTS,Carbon Dioxide,Submersion,bacs,inpo,1,AFFECTS_BACSafctINPO
C0018284,C0035126,AFFECTS,Growth Factor,Reperfusion Injury,bacs,inpo,1,AFFECTS_BACSafctINPO
C0023546,C0010957,AFFECTS,Leukotriene B4,Tissue damage,bacs,inpo,1,AFFECTS_BACSafctINPO
C0028606,C0273115,AFFECTS,Nucleic Acids,Lung Injury,bacs,inpo,1,AFFECTS_BACSafctINPO
C0062496,C0242488,AFFECTS,hemozoin,Acute Lung Injury,bacs,inpo,1,AFFECTS_BACSafctINPO
C0074565,C0010957,AFFECTS,Singlet Oxygen,Tissue damage,bacs,inpo,1,AFFECTS_BACSafctINPO
C0136157,C0273115,AFFECTS,Peroxynitrite,Lung Injury,bacs,inpo,1,AFFECTS_BACSafctINPO
C0162772,C0160420,AFFECTS,Reactive Oxygen Species,Injury of kidney,bacs,inpo,1,AFFECTS_BACSafctINPO
C0178645,C0273115,AFFECTS,oxygen free radical,Lung Injury,bacs,inpo,1,AFFECTS_BACSafctINPO
C1101610,C0600688,AFFECTS,MicroRNAs,Toxic effect,bacs,inpo,2,AFFECTS_BACSafctINPO
C1506352,C0600688,AFFECTS,silvestrol,Toxic effect,bacs,inpo,2,AFFECTS_BACSafctINPO
