cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001157,C0012797,AFFECTS,Aconite,Diuresis,bacs,ortf,1,AFFECTS_BACSafctORTF
C0001443,C0027793,AFFECTS,Adenosine,Synaptic Transmission,bacs,ortf,1,AFFECTS_BACSafctORTF
C0001468,C0004048,AFFECTS,Adenosine Phosphosulfate,Inspiration function,bacs,ortf,1,AFFECTS_BACSafctORTF
C0003320,C0282557,AFFECTS,Antigens,"Immune Response, Mucosal",bacs,ortf,1,AFFECTS_BACSafctORTF
C0003320,C0334220,AFFECTS,Antigens,Remyelination,bacs,ortf,1,AFFECTS_BACSafctORTF
C0003320,C0678894,AFFECTS,Antigens,antigen recognition,bacs,ortf,1,AFFECTS_BACSafctORTF
C0003320,C0683201,AFFECTS,Antigens,specific immunity,bacs,ortf,3,AFFECTS_BACSafctORTF
C0003320,C1371455,AFFECTS,Antigens,Decreased Antibody Production [PE],bacs,ortf,1,AFFECTS_BACSafctORTF
C0003320,C1817756,AFFECTS,Antigens,Immune System Processes,bacs,ortf,1,AFFECTS_BACSafctORTF
C0004409,C0013936,AFFECTS,Auxins,Embryonic Development,bacs,ortf,2,AFFECTS_BACSafctORTF
C0006675,C1516294,AFFECTS,Calcium,Cardiac Muscle Contraction,bacs,ortf,1,AFFECTS_BACSafctORTF
C0007012,C0231940,AFFECTS,Carbon Dioxide,Alveolar ventilation function,bacs,ortf,1,AFFECTS_BACSafctORTF
C0007412,C0232164,AFFECTS,Catecholamines,Cardiac function,bacs,ortf,1,AFFECTS_BACSafctORTF
C0012854,C0282558,AFFECTS,DNA,"Immunity, Mucosal",bacs,ortf,1,AFFECTS_BACSafctORTF
C0012854,C0683201,AFFECTS,DNA,specific immunity,bacs,ortf,1,AFFECTS_BACSafctORTF
C0013030,C0027793,AFFECTS,Dopamine,Synaptic Transmission,bacs,ortf,1,AFFECTS_BACSafctORTF
C0017725,C0035245,AFFECTS,Glucose,Respiratory physiology,bacs,ortf,2,AFFECTS_BACSafctORTF
C0018284,C0162337,AFFECTS,Growth Factor,Vascular Permeability,bacs,ortf,1,AFFECTS_BACSafctORTF
C0018284,C0302600,AFFECTS,Growth Factor,Angiogenic Process,bacs,ortf,1,AFFECTS_BACSafctORTF
C0018284,C0334220,AFFECTS,Growth Factor,Remyelination,bacs,ortf,1,AFFECTS_BACSafctORTF
C0018284,C0596138,AFFECTS,Growth Factor,autocrine,bacs,ortf,2,AFFECTS_BACSafctORTF
C0018284,C1160250,AFFECTS,Growth Factor,blood vessel development,bacs,ortf,1,AFFECTS_BACSafctORTF
C0018284,C1817756,AFFECTS,Growth Factor,Immune System Processes,bacs,ortf,1,AFFECTS_BACSafctORTF
C0018330,C0036658,AFFECTS,Guanosine,Esthesia,bacs,ortf,1,AFFECTS_BACSafctORTF
C0019134,C0024112,AFFECTS,heparin,Lung Compliance,bacs,ortf,1,AFFECTS_BACSafctORTF
C0028128,C0231940,AFFECTS,Nitric Oxide,Alveolar ventilation function,bacs,ortf,2,AFFECTS_BACSafctORTF
C0028128,C0599705,AFFECTS,Nitric Oxide,perfusion (blood),bacs,ortf,1,AFFECTS_BACSafctORTF
C0030234,C1511806,AFFECTS,Palmitic Acid,Developmental process,bacs,ortf,1,AFFECTS_BACSafctORTF
C0032136,C0036658,AFFECTS,Plasmids,Esthesia,bacs,ortf,2,AFFECTS_BACSafctORTF
C0032136,C0232164,AFFECTS,Plasmids,Cardiac function,bacs,ortf,2,AFFECTS_BACSafctORTF
C0032136,C0683201,AFFECTS,Plasmids,specific immunity,bacs,ortf,1,AFFECTS_BACSafctORTF
C0034085,C0231921,AFFECTS,Pulmonary Surfactants,Pulmonary function,bacs,ortf,1,AFFECTS_BACSafctORTF
C0035693,C0036658,AFFECTS,"RNA, Double-Stranded",Esthesia,bacs,ortf,1,AFFECTS_BACSafctORTF
C0035696,C1159892,AFFECTS,"RNA, Messenger",epidermal cell differentiation,bacs,ortf,1,AFFECTS_BACSafctORTF
C0035701,C0036658,AFFECTS,Ribosomal RNA,Esthesia,bacs,ortf,2,AFFECTS_BACSafctORTF
C0037494,C0039336,AFFECTS,Sodium Chloride,Taste Perception,bacs,ortf,1,AFFECTS_BACSafctORTF
C0040577,C1817756,AFFECTS,Trace Elements,Immune System Processes,bacs,ortf,1,AFFECTS_BACSafctORTF
C0043335,C0031133,AFFECTS,Xenobiotics,Peristalsis,bacs,ortf,1,AFFECTS_BACSafctORTF
C0043481,C1817756,AFFECTS,Zinc,Immune System Processes,bacs,ortf,1,AFFECTS_BACSafctORTF
C0064582,C0021826,AFFECTS,Lactic acid,Intestinal Absorption,bacs,ortf,1,AFFECTS_BACSafctORTF
C0162772,C3850148,AFFECTS,Reactive Oxygen Species,Vascular Remodeling,bacs,ortf,1,AFFECTS_BACSafctORTF
C0205752,C0232804,AFFECTS,Endogenous Opiates,Renal function,bacs,ortf,1,AFFECTS_BACSafctORTF
C0599745,C0027793,AFFECTS,lipid mediator,Synaptic Transmission,bacs,ortf,1,AFFECTS_BACSafctORTF
C0599745,C0162337,AFFECTS,lipid mediator,Vascular Permeability,bacs,ortf,1,AFFECTS_BACSafctORTF
C0599745,C1817756,AFFECTS,lipid mediator,Immune System Processes,bacs,ortf,1,AFFECTS_BACSafctORTF
C1099354,C2752214,AFFECTS,"RNA, Small Interfering",tube formation,bacs,ortf,1,AFFECTS_BACSafctORTF
C1101610,C0232164,AFFECTS,MicroRNAs,Cardiac function,bacs,ortf,2,AFFECTS_BACSafctORTF
C1101610,C1160340,AFFECTS,MicroRNAs,brain development,bacs,ortf,1,AFFECTS_BACSafctORTF
C1101610,C1511806,AFFECTS,MicroRNAs,Developmental process,bacs,ortf,1,AFFECTS_BACSafctORTF
C1101610,C3850148,AFFECTS,MicroRNAs,Vascular Remodeling,bacs,ortf,1,AFFECTS_BACSafctORTF
C1508748,C0036658,AFFECTS,second messenger,Esthesia,bacs,ortf,1,AFFECTS_BACSafctORTF
C1519315,C0232164,AFFECTS,Signaling Molecule,Cardiac function,bacs,ortf,1,AFFECTS_BACSafctORTF
C1519315,C0678894,AFFECTS,Signaling Molecule,antigen recognition,bacs,ortf,1,AFFECTS_BACSafctORTF
