cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0015399,C0009763,AFFECTS,Eye Drops,Conjunctivitis,bodm,dsyn,1,AFFECTS_BODMafctDSYN
C0040462,C0017574,AFFECTS,Toothpaste,Gingivitis,bodm,dsyn,1,AFFECTS_BODMafctDSYN
C0042444,C0007682,AFFECTS,Drug vehicle,CNS disorder,bodm,dsyn,1,AFFECTS_BODMafctDSYN
C0301283,C0042769,AFFECTS,Drug additive,Virus Diseases,bodm,dsyn,1,AFFECTS_BODMafctDSYN
C1272883,C0003486,AFFECTS,Injection,Aortic Aneurysm,bodm,dsyn,1,AFFECTS_BODMafctDSYN
C1272883,C0034069,AFFECTS,Injection,Pulmonary Fibrosis,bodm,dsyn,1,AFFECTS_BODMafctDSYN
C1272883,C0085438,AFFECTS,Injection,"Meningitis, Fungal",bodm,dsyn,1,AFFECTS_BODMafctDSYN
C1272883,C0338474,AFFECTS,Injection,Central nervous system demyelination,bodm,dsyn,1,AFFECTS_BODMafctDSYN
C1563732,C0042769,AFFECTS,Dendrimers,Virus Diseases,bodm,dsyn,1,AFFECTS_BODMafctDSYN
C1720654,C0042769,AFFECTS,Oral application,Virus Diseases,bodm,dsyn,1,AFFECTS_BODMafctDSYN
C2347385,C0856238,AFFECTS,Ocular System Dosage Form,influenza (epidemic),bodm,dsyn,1,AFFECTS_BODMafctDSYN
