cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0026237,C0014272,AFFECTS,Mitochondria,Energy Metabolism,celc,phsf,1,AFFECTS_CELCafctPHSF
C0029219,C0149784,AFFECTS,Organelles,biological adaptation to stress,celc,phsf,1,AFFECTS_CELCafctPHSF
C0035553,C0014272,AFFECTS,Ribosomes,Energy Metabolism,celc,phsf,1,AFFECTS_CELCafctPHSF
C0042219,C0243144,AFFECTS,Vacuole,Uptake,celc,phsf,1,AFFECTS_CELCafctPHSF
C0042760,C0242732,AFFECTS,Virion,Tropism,celc,phsf,1,AFFECTS_CELCafctPHSF
C0042760,C0243144,AFFECTS,Virion,Uptake,celc,phsf,1,AFFECTS_CELCafctPHSF
C0230653,C0243144,AFFECTS,Caveolae,Uptake,celc,phsf,3,AFFECTS_CELCafctPHSF
C0230770,C1704520,AFFECTS,"Endoplasmic reticulum, membrane",Primary Respiratory Mechanism,celc,phsf,1,AFFECTS_CELCafctPHSF
C0333785,C2717801,AFFECTS,Virus-like particles,Viral Tropism,celc,phsf,1,AFFECTS_CELCafctPHSF
C0596901,C0005775,AFFECTS,Membrane,Blood Circulation,celc,phsf,2,AFFECTS_CELCafctPHSF
C0596901,C1514892,AFFECTS,Membrane,Resistance Process,celc,phsf,1,AFFECTS_CELCafctPHSF
C0887885,C0243144,AFFECTS,Clathrin-Coated Vesicles,Uptake,celc,phsf,1,AFFECTS_CELCafctPHSF
C1166607,C0243144,AFFECTS,cellular_component,Uptake,celc,phsf,1,AFFECTS_CELCafctPHSF
C1167128,C1511613,AFFECTS,transcription factor complex,Cytokine Signaling Process,celc,phsf,1,AFFECTS_CELCafctPHSF
C1167250,C1326960,AFFECTS,lipid raft,Cholesterol Homeostasis,celc,phsf,1,AFFECTS_CELCafctPHSF
C1167315,C0243056,AFFECTS,endomembrane system,Plant Physiological Phenomena,celc,phsf,1,AFFECTS_CELCafctPHSF
C1179907,C1326960,AFFECTS,Wall of endosome,Cholesterol Homeostasis,celc,phsf,1,AFFECTS_CELCafctPHSF
C1325834,C0243144,AFFECTS,viral glycoprotein,Uptake,celc,phsf,1,AFFECTS_CELCafctPHSF
C1622200,C0243144,AFFECTS,cytostome,Uptake,celc,phsf,1,AFFECTS_CELCafctPHSF
C1622204,C0242732,AFFECTS,envelope,Tropism,celc,phsf,2,AFFECTS_CELCafctPHSF
C1622204,C1514892,AFFECTS,envelope,Resistance Process,celc,phsf,1,AFFECTS_CELCafctPHSF
C1749467,C0020964,AFFECTS,soluble,Immunity,celc,phsf,1,AFFECTS_CELCafctPHSF
C1749467,C1622271,AFFECTS,soluble,neutrophil degranulation,celc,phsf,1,AFFECTS_CELCafctPHSF
C1819995,C0020964,AFFECTS,Host Cell,Immunity,celc,phsf,1,AFFECTS_CELCafctPHSF
C1819995,C0242732,AFFECTS,Host Cell,Tropism,celc,phsf,1,AFFECTS_CELCafctPHSF
C1956015,C1514892,AFFECTS,Ribosome Subunits,Resistance Process,celc,phsf,1,AFFECTS_CELCafctPHSF
C2754943,C0020964,AFFECTS,IgG antibody,Immunity,celc,phsf,1,AFFECTS_CELCafctPHSF
C2754992,C0020964,AFFECTS,secretory IgA immunoglobulin complex,Immunity,celc,phsf,1,AFFECTS_CELCafctPHSF
C3271954,C0243144,AFFECTS,macropinosome,Uptake,celc,phsf,1,AFFECTS_CELCafctPHSF
