cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001272,C0027882,AFFECTS,Action Potentials,Neurons,celf,cell,1,AFFECTS_CELFafctCELL
C0003272,C0334227,AFFECTS,Antibody-Dependent Cellular Cytotoxicity,"Tumor cells, malignant",celf,cell,1,AFFECTS_CELFafctCELL
C0004391,C0004561,AFFECTS,Autophagy,B-Lymphocytes,celf,cell,1,AFFECTS_CELFafctCELL
C0004391,C0015161,AFFECTS,Autophagy,Eukaryotic Cells,celf,cell,1,AFFECTS_CELFafctCELL
C0004391,C0016030,AFFECTS,Autophagy,Fibroblasts,celf,cell,2,AFFECTS_CELFafctCELL
C0004391,C0027950,AFFECTS,Autophagy,neutrophil,celf,cell,2,AFFECTS_CELFafctCELL
C0004391,C0085236,AFFECTS,Autophagy,"Macrophages, Alveolar",celf,cell,1,AFFECTS_CELFafctCELL
C0004391,C0225336,AFFECTS,Autophagy,Endothelial Cells,celf,cell,1,AFFECTS_CELFafctCELL
C0004391,C0596995,AFFECTS,Autophagy,Myoblasts,celf,cell,1,AFFECTS_CELFafctCELL
C0004391,C1512977,AFFECTS,Autophagy,Mammalian Cell,celf,cell,1,AFFECTS_CELFafctCELL
C0004391,C4038423,AFFECTS,Autophagy,cervical cells,celf,cell,1,AFFECTS_CELFafctCELL
C0004391,C4330475,AFFECTS,Autophagy,Immune Cell,celf,cell,2,AFFECTS_CELFafctCELL
C0004462,C0026609,AFFECTS,Axonal Transport,Motor Neurons,celf,cell,1,AFFECTS_CELFafctCELL
C0007577,C0004112,AFFECTS,Cell Adhesion,Astrocytes,celf,cell,1,AFFECTS_CELFafctCELL
C0007577,C0206116,AFFECTS,Cell Adhesion,Microglia,celf,cell,1,AFFECTS_CELFafctCELL
C0007582,C0024432,AFFECTS,Cell Communication,macrophage,celf,cell,1,AFFECTS_CELFafctCELL
C0007582,C0027836,AFFECTS,Cell Communication,Neuroglia,celf,cell,1,AFFECTS_CELFafctCELL
C0007582,C0553257,AFFECTS,Cell Communication,Epithelial cell of renal tubule,celf,cell,1,AFFECTS_CELFafctCELL
C0007586,C0596508,AFFECTS,Cell Cycle,Embryonic Stem Cells,celf,cell,1,AFFECTS_CELFafctCELL
C0007587,C0027836,AFFECTS,Cell Death,Neuroglia,celf,cell,1,AFFECTS_CELFafctCELL
C0007587,C0027882,AFFECTS,Cell Death,Neurons,celf,cell,1,AFFECTS_CELFafctCELL
C0007587,C0027950,AFFECTS,Cell Death,neutrophil,celf,cell,1,AFFECTS_CELFafctCELL
C0007587,C0334227,AFFECTS,Cell Death,"Tumor cells, malignant",celf,cell,1,AFFECTS_CELFafctCELL
C0007587,C0596208,AFFECTS,Cell Death,brain cell,celf,cell,1,AFFECTS_CELFafctCELL
C0007587,C2717940,AFFECTS,Cell Death,Hep G2 Cells,celf,cell,1,AFFECTS_CELFafctCELL
C0007587,C4277577,AFFECTS,Cell Death,A549 Cells,celf,cell,1,AFFECTS_CELFafctCELL
C0007595,C0334227,AFFECTS,cell growth,"Tumor cells, malignant",celf,cell,1,AFFECTS_CELFafctCELL
C0007613,C0039195,AFFECTS,Cell physiology,Cytotoxic T-Lymphocytes,celf,cell,1,AFFECTS_CELFafctCELL
C0007613,C0242632,AFFECTS,Cell physiology,T-helper cell type 1,celf,cell,1,AFFECTS_CELFafctCELL
C0007613,C0887899,AFFECTS,Cell physiology,Myeloid Cells,celf,cell,1,AFFECTS_CELFafctCELL
C0007620,C0004112,AFFECTS,Cell Survival,Astrocytes,celf,cell,1,AFFECTS_CELFafctCELL
C0007620,C1512505,AFFECTS,Cell Survival,Breast Cancer Cell,celf,cell,1,AFFECTS_CELFafctCELL
C0007620,C4277577,AFFECTS,Cell Survival,A549 Cells,celf,cell,1,AFFECTS_CELFafctCELL
C0008018,C0011306,AFFECTS,Chemotaxis,Dendritic Cells,celf,cell,1,AFFECTS_CELFafctCELL
C0008018,C0023516,AFFECTS,Chemotaxis,Leukocytes,celf,cell,1,AFFECTS_CELFafctCELL
C0008018,C0026473,AFFECTS,Chemotaxis,Monocytes,celf,cell,2,AFFECTS_CELFafctCELL
C0008018,C0027950,AFFECTS,Chemotaxis,neutrophil,celf,cell,1,AFFECTS_CELFafctCELL
