cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003261,C4042908,AFFECTS,Antibody Formation,Seroconversion,celf,npop,1,AFFECTS_CELFafctNPOP
C0004391,C0005495,AFFECTS,Autophagy,Origin of Life,celf,npop,4,AFFECTS_CELFafctNPOP
C0004391,C0031164,AFFECTS,Autophagy,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0004391,C0600511,AFFECTS,Autophagy,Pharmacologic Actions,celf,npop,3,AFFECTS_CELFafctNPOP
C0004391,C0678542,AFFECTS,Autophagy,chemical energy,celf,npop,1,AFFECTS_CELFafctNPOP
C0004391,C2348693,AFFECTS,Autophagy,Flux,celf,npop,1,AFFECTS_CELFafctNPOP
C0004391,C2717975,AFFECTS,Autophagy,Virus Release,celf,npop,1,AFFECTS_CELFafctNPOP
C0007577,C0031164,AFFECTS,Cell Adhesion,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0007577,C2936626,AFFECTS,Cell Adhesion,Tumor Microenvironment,celf,npop,1,AFFECTS_CELFafctNPOP
C0007582,C3826426,AFFECTS,Cell Communication,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C0007587,C0031164,AFFECTS,Cell Death,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0007605,C0243052,AFFECTS,Cell Membrane Permeability,Virus Physiological Phenomena,celf,npop,1,AFFECTS_CELFafctNPOP
C0008018,C0031164,AFFECTS,Chemotaxis,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0010813,C0005495,AFFECTS,Cytokinesis,Origin of Life,celf,npop,1,AFFECTS_CELFafctNPOP
C0010813,C0031164,AFFECTS,Cytokinesis,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0026255,C0376525,AFFECTS,Mitosis,Dimerization,celf,npop,1,AFFECTS_CELFafctNPOP
C0031308,C0013764,AFFECTS,Phagocytosis,elasticity,celf,npop,1,AFFECTS_CELFafctNPOP
C0037083,C0005495,AFFECTS,Signal Transduction,Origin of Life,celf,npop,1,AFFECTS_CELFafctNPOP
C0037083,C0037783,AFFECTS,Signal Transduction,Species Specificity,celf,npop,1,AFFECTS_CELFafctNPOP
C0040682,C0007382,AFFECTS,cell transformation,Catalysis,celf,npop,1,AFFECTS_CELFafctNPOP
C0596233,C0031164,AFFECTS,release of sequestered calcium ion into cytoplasm,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0596290,C3826426,AFFECTS,Cell Proliferation,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C0872070,C0243052,AFFECTS,nucleocytoplasmic transport,Virus Physiological Phenomena,celf,npop,1,AFFECTS_CELFafctNPOP
C1155065,C3826426,AFFECTS,T-Cell Activation,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C1155229,C3826426,AFFECTS,Humoral immune response,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C1155229,C4042908,AFFECTS,Humoral immune response,Seroconversion,celf,npop,1,AFFECTS_CELFafctNPOP
C1155872,C3826426,AFFECTS,Cell Cycle Control,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C1155874,C3826426,AFFECTS,Cell Cycle Checkpoints,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C1159342,C0005495,AFFECTS,Secretory Pathway,Origin of Life,celf,npop,3,AFFECTS_CELFafctNPOP
C1160716,C3179134,AFFECTS,viral transmission,Sympatry,celf,npop,1,AFFECTS_CELFafctNPOP
C1160716,C3826426,AFFECTS,viral transmission,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C1326169,C0851346,AFFECTS,microglial cell activation,Radiation,celf,npop,1,AFFECTS_CELFafctNPOP
C1327616,C0031164,AFFECTS,Cell secretion,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C1516022,C0303896,AFFECTS,Antimicrobial Effect,Blue light,celf,npop,2,AFFECTS_CELFafctNPOP
C1660749,C0017982,AFFECTS,localization within cell,glycosylation,celf,npop,1,AFFECTS_CELFafctNPOP
C1817908,C0243052,AFFECTS,Cellular Immune Response,Virus Physiological Phenomena,celf,npop,1,AFFECTS_CELFafctNPOP
C1819371,C0005495,AFFECTS,endocytic recycling,Origin of Life,celf,npop,1,AFFECTS_CELFafctNPOP
C4236836,C0005495,AFFECTS,lipophagy,Origin of Life,celf,npop,1,AFFECTS_CELFafctNPOP
