cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0014653,AFFECTS,Armed macrophage,Equilibrium,cell,orgf,1,AFFECTS_CELLafctORGF
C0001280,C0814002,AFFECTS,Armed macrophage,Neurogenesis,cell,orgf,2,AFFECTS_CELLafctORGF
C0003315,C0678723,AFFECTS,Antigen-Presenting Cells,Biologic Development,cell,orgf,1,AFFECTS_CELLafctORGF
C0003315,C1155328,AFFECTS,Antigen-Presenting Cells,Antiviral Response,cell,orgf,1,AFFECTS_CELLafctORGF
C0003315,C1160185,AFFECTS,Antigen-Presenting Cells,transduction,cell,orgf,1,AFFECTS_CELLafctORGF
C0003315,C1327413,AFFECTS,Antigen-Presenting Cells,cytokine production,cell,orgf,1,AFFECTS_CELLafctORGF
C0004112,C0018270,AFFECTS,Astrocytes,Growth,cell,orgf,2,AFFECTS_CELLafctORGF
C0004112,C0814002,AFFECTS,Astrocytes,Neurogenesis,cell,orgf,1,AFFECTS_CELLafctORGF
C0004112,C1819430,AFFECTS,Astrocytes,type I interferon production,cell,orgf,1,AFFECTS_CELLafctORGF
C0004561,C0014653,AFFECTS,B-Lymphocytes,Equilibrium,cell,orgf,1,AFFECTS_CELLafctORGF
C0004561,C0020967,AFFECTS,B-Lymphocytes,Humoral Immunity,cell,orgf,4,AFFECTS_CELLafctORGF
C0004561,C1154988,AFFECTS,B-Lymphocytes,defense response,cell,orgf,3,AFFECTS_CELLafctORGF
C0004561,C1749719,AFFECTS,B-Lymphocytes,Adaptive Immune Response,cell,orgf,1,AFFECTS_CELLafctORGF
C0004561,C1819444,AFFECTS,B-Lymphocytes,interleukin-17 production,cell,orgf,1,AFFECTS_CELLafctORGF
C0007600,C0018270,AFFECTS,Cultured Cell Line,Growth,cell,orgf,1,AFFECTS_CELLafctORGF
C0007600,C1327413,AFFECTS,Cultured Cell Line,cytokine production,cell,orgf,1,AFFECTS_CELLafctORGF
C0011306,C0005615,AFFECTS,Dendritic Cells,Birth,cell,orgf,2,AFFECTS_CELLafctORGF
C0011306,C0014653,AFFECTS,Dendritic Cells,Equilibrium,cell,orgf,1,AFFECTS_CELLafctORGF
C0011306,C0043240,AFFECTS,Dendritic Cells,Wound Healing,cell,orgf,1,AFFECTS_CELLafctORGF
C0011306,C0678723,AFFECTS,Dendritic Cells,Biologic Development,cell,orgf,1,AFFECTS_CELLafctORGF
C0011306,C0872193,AFFECTS,Dendritic Cells,immunoreaction,cell,orgf,1,AFFECTS_CELLafctORGF
C0011306,C1155328,AFFECTS,Dendritic Cells,Antiviral Response,cell,orgf,1,AFFECTS_CELLafctORGF
C0011306,C1327413,AFFECTS,Dendritic Cells,cytokine production,cell,orgf,1,AFFECTS_CELLafctORGF
C0011306,C1749719,AFFECTS,Dendritic Cells,Adaptive Immune Response,cell,orgf,1,AFFECTS_CELLafctORGF
C0011306,C1819426,AFFECTS,Dendritic Cells,chemokine production,cell,orgf,1,AFFECTS_CELLafctORGF
C0011306,C1819430,AFFECTS,Dendritic Cells,type I interferon production,cell,orgf,2,AFFECTS_CELLafctORGF
C0014467,C1155328,AFFECTS,eosinophil,Antiviral Response,cell,orgf,1,AFFECTS_CELLafctORGF
C0014597,C1155328,AFFECTS,Epithelial Cells,Antiviral Response,cell,orgf,2,AFFECTS_CELLafctORGF
C0016030,C0043240,AFFECTS,Fibroblasts,Wound Healing,cell,orgf,1,AFFECTS_CELLafctORGF
C0016030,C1155328,AFFECTS,Fibroblasts,Antiviral Response,cell,orgf,1,AFFECTS_CELLafctORGF
C0018956,C0043240,AFFECTS,Hematopoietic stem cells,Wound Healing,cell,orgf,1,AFFECTS_CELLafctORGF
C0022567,C0699900,AFFECTS,keratinocyte,Catabolism,cell,orgf,1,AFFECTS_CELLafctORGF
C0022686,C1155328,AFFECTS,Killer Cells,Antiviral Response,cell,orgf,1,AFFECTS_CELLafctORGF
C0022688,C0014653,AFFECTS,Natural Killer Cells,Equilibrium,cell,orgf,1,AFFECTS_CELLafctORGF
C0022688,C0018270,AFFECTS,Natural Killer Cells,Growth,cell,orgf,1,AFFECTS_CELLafctORGF
C0022688,C0021059,AFFECTS,Natural Killer Cells,Immunologic Surveillance,cell,orgf,2,AFFECTS_CELLafctORGF
C0022688,C0678723,AFFECTS,Natural Killer Cells,Biologic Development,cell,orgf,1,AFFECTS_CELLafctORGF
C0022688,C0872193,AFFECTS,Natural Killer Cells,immunoreaction,cell,orgf,1,AFFECTS_CELLafctORGF
