cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0014020,C0301872,AFFECTS,Emulsions,Immune response,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0032521,C0005615,AFFECTS,Polymers,Birth,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0178735,C0018270,AFFECTS,macromolecule,Growth,chvs,orgf,2,AFFECTS_CHVSafctORGF
C0243072,C0018270,AFFECTS,derivatives,Growth,chvs,orgf,2,AFFECTS_CHVSafctORGF
C0243072,C0042774,AFFECTS,derivatives,Virus Replication,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0260127,C0014653,AFFECTS,Phosphonates,Equilibrium,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0303074,C0018270,AFFECTS,Metallic compound,Growth,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0596383,C0005615,AFFECTS,Copolymer,Birth,chvs,orgf,2,AFFECTS_CHVSafctORGF
C0596448,C0026649,AFFECTS,dimer,Movement,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0597177,C0005615,AFFECTS,Particle,Birth,chvs,orgf,2,AFFECTS_CHVSafctORGF
C0597177,C0012238,AFFECTS,Particle,Digestion,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0597177,C0014653,AFFECTS,Particle,Equilibrium,chvs,orgf,2,AFFECTS_CHVSafctORGF
C0597177,C0019868,AFFECTS,Particle,Homeostasis,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0597177,C0042774,AFFECTS,Particle,Virus Replication,chvs,orgf,3,AFFECTS_CHVSafctORGF
C0597177,C0231800,AFFECTS,Particle,"Expiration, function",chvs,orgf,1,AFFECTS_CHVSafctORGF
C0597177,C0301872,AFFECTS,Particle,Immune response,chvs,orgf,4,AFFECTS_CHVSafctORGF
C0597177,C0678723,AFFECTS,Particle,Biologic Development,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0597177,C0699900,AFFECTS,Particle,Catabolism,chvs,orgf,3,AFFECTS_CHVSafctORGF
C0597177,C1155328,AFFECTS,Particle,Antiviral Response,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0597177,C1160185,AFFECTS,Particle,transduction,chvs,orgf,2,AFFECTS_CHVSafctORGF
C0597177,C1516559,AFFECTS,Particle,Circulatory Process,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0597488,C0014653,AFFECTS,solute,Equilibrium,chvs,orgf,1,AFFECTS_CHVSafctORGF
C0597488,C0019868,AFFECTS,solute,Homeostasis,chvs,orgf,1,AFFECTS_CHVSafctORGF
C1138408,C1516559,AFFECTS,"Nanotubes, Carbon",Circulatory Process,chvs,orgf,1,AFFECTS_CHVSafctORGF
C1704241,C0023796,AFFECTS,complex (molecular entity),Lipolysis,chvs,orgf,1,AFFECTS_CHVSafctORGF
C1704241,C0042774,AFFECTS,complex (molecular entity),Virus Replication,chvs,orgf,1,AFFECTS_CHVSafctORGF
C2715259,C1855163,AFFECTS,biochar,METHANE PRODUCTION,chvs,orgf,1,AFFECTS_CHVSafctORGF
C3890228,C0005615,AFFECTS,Structural Modifier,Birth,chvs,orgf,1,AFFECTS_CHVSafctORGF
C3890228,C0018270,AFFECTS,Structural Modifier,Growth,chvs,orgf,1,AFFECTS_CHVSafctORGF
C3890228,C0699900,AFFECTS,Structural Modifier,Catabolism,chvs,orgf,1,AFFECTS_CHVSafctORGF
