cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0010827,C0042776,AFFECTS,"Cytopathogenic Effect, Viral",Virus,comd,virs,1,AFFECTS_COMDafctVIRS
C0242606,C0206538,AFFECTS,Oxidative Stress,Peste-des-petits-ruminants virus,comd,virs,2,AFFECTS_COMDafctVIRS
C0282632,C0011315,AFFECTS,Antibody-Dependent Enhancement,Dengue Virus,comd,virs,1,AFFECTS_COMDafctVIRS
C0282632,C0318793,AFFECTS,Antibody-Dependent Enhancement,Zika Virus,comd,virs,1,AFFECTS_COMDafctVIRS
C0392769,C0042776,AFFECTS,Patch formation,Virus,comd,virs,1,AFFECTS_COMDafctVIRS
C0596402,C0011313,AFFECTS,cytotoxicity,"Dengue virus, type 1",comd,virs,1,AFFECTS_COMDafctVIRS
C0596402,C0014047,AFFECTS,cytotoxicity,Japanese encephalitis virus,comd,virs,1,AFFECTS_COMDafctVIRS
C0596402,C0014644,AFFECTS,cytotoxicity,Epstein-Barr Virus,comd,virs,1,AFFECTS_COMDafctVIRS
C0596402,C0042776,AFFECTS,cytotoxicity,Virus,comd,virs,1,AFFECTS_COMDafctVIRS
C0596402,C0206558,AFFECTS,cytotoxicity,Simplexvirus,comd,virs,1,AFFECTS_COMDafctVIRS
C0596402,C0318759,AFFECTS,cytotoxicity,"Dengue virus, type 2",comd,virs,1,AFFECTS_COMDafctVIRS
C1705285,C0032092,AFFECTS,Mutation Abnormality,Plant Viruses,comd,virs,1,AFFECTS_COMDafctVIRS
C3178870,C0019842,AFFECTS,Endoplasmic Reticulum Stress,Classical swine fever virus,comd,virs,1,AFFECTS_COMDafctVIRS
