cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009450,C3258257,AFFECTS,Communicable Diseases,Total population,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0014518,C0150312,AFFECTS,Toxic Epidermal Necrolysis,Present,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0019196,C0150312,AFFECTS,Hepatitis C,Present,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0021400,C0035648,AFFECTS,Influenza,risk factors,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0025162,C0035648,AFFECTS,"Megacolon, Toxic",risk factors,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0035112,C0150312,AFFECTS,Reoviridae Infections,Present,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0035222,C0035648,AFFECTS,"Respiratory Distress Syndrome, Adult",risk factors,dsyn,qnco,2,AFFECTS_DSYNafctQNCO
C0232197,C0150312,AFFECTS,Fibrillation,Present,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0238106,C0035648,AFFECTS,Clostridium difficile colitis,risk factors,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0275518,C0150312,AFFECTS,Acute infectious disease,Present,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0275518,C0600457,AFFECTS,Acute infectious disease,Gravidity,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0275522,C0600457,AFFECTS,Asymptomatic Infections,Gravidity,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0276289,C0150312,AFFECTS,Zika Virus Infection,Present,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C0276500,C0150312,AFFECTS,Human immunodeficiency virus I infection,Present,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
C1175175,C0035648,AFFECTS,Severe Acute Respiratory Syndrome,risk factors,dsyn,qnco,1,AFFECTS_DSYNafctQNCO
