cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001314,C0042776,AFFECTS,Acute Disease,Virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0002871,C0017161,AFFECTS,Anemia,Transmissible gastroenteritis virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0004096,C0019682,AFFECTS,Asthma,HIV,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0009443,C0042776,AFFECTS,Common Cold,Virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0009450,C0042776,AFFECTS,Communicable Diseases,Virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0009450,C0220847,AFFECTS,Communicable Diseases,Hepatitis C virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0009663,C0021344,AFFECTS,Condylomata Acuminata,Human Papillomavirus,dsyn,virs,2,AFFECTS_DSYNafctVIRS
C0010356,C0009743,AFFECTS,Cross Infection,"Hemorrhagic Fever Virus, Crimean-Congo",dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0010356,C0597404,AFFECTS,Cross Infection,Respiratory viruses,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0010356,C0682447,AFFECTS,Cross Infection,virus by host,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0011175,C0025011,AFFECTS,Dehydration,Measles virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0011175,C0042776,AFFECTS,Dehydration,Virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0011303,C0042776,AFFECTS,Demyelinating Diseases,Virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0014038,C0025011,AFFECTS,Encephalitis,Measles virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0014038,C0042776,AFFECTS,Encephalitis,Virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0014057,C0042776,AFFECTS,Japanese Encephalitis,Virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0014078,C0042776,AFFECTS,Venezuelan equine encephalomyelitis,Virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0014518,C3698360,AFFECTS,Toxic Epidermal Necrolysis,Middle East Respiratory Syndrome Coronavirus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0014836,C0004419,AFFECTS,Escherichia coli Infections,Infectious bronchitis virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
C0015674,C0026626,AFFECTS,Chronic Fatigue Syndrome,Murine leukemia virus,dsyn,virs,1,AFFECTS_DSYNafctVIRS
