cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003050,C0242781,AFFECTS,Animal feed (substance),disease transmission,food,patf,1,AFFECTS_FOODafctPATF
C0003050,C3714514,AFFECTS,Animal feed (substance),Infection,food,patf,1,AFFECTS_FOODafctPATF
C0012155,C3658208,AFFECTS,Diet,Dysbiosis,food,patf,1,AFFECTS_FOODafctPATF
C0016452,C0002792,AFFECTS,Food,anaphylaxis,food,patf,1,AFFECTS_FOODafctPATF
C0016452,C1520005,AFFECTS,Food,Viral Pathogenesis,food,patf,1,AFFECTS_FOODafctPATF
C0016452,C3714514,AFFECTS,Food,Infection,food,patf,1,AFFECTS_FOODafctPATF
C0016767,C0021368,AFFECTS,Fruit,Inflammation,food,patf,1,AFFECTS_FOODafctPATF
C0359583,C0003130,AFFECTS,enrich,Anoxia,food,patf,1,AFFECTS_FOODafctPATF
C0359583,C0021368,AFFECTS,enrich,Inflammation,food,patf,1,AFFECTS_FOODafctPATF
C0678420,C0600518,AFFECTS,Cocktail,Choroidal Neovascularization,food,patf,1,AFFECTS_FOODafctPATF
C1518478,C3658208,AFFECTS,Nutraceuticals,Dysbiosis,food,patf,1,AFFECTS_FOODafctPATF
C2947019,C0020523,AFFECTS,Pivot,Immediate hypersensitivity,food,patf,1,AFFECTS_FOODafctPATF
C2947019,C0021368,AFFECTS,Pivot,Inflammation,food,patf,1,AFFECTS_FOODafctPATF
C2947019,C0030660,AFFECTS,Pivot,Pathologic Processes,food,patf,1,AFFECTS_FOODafctPATF
C2947019,C0242656,AFFECTS,Pivot,Disease Progression,food,patf,1,AFFECTS_FOODafctPATF
C2947019,C1155266,AFFECTS,Pivot,inflammatory response,food,patf,2,AFFECTS_FOODafctPATF
