cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017262,C1157980,AFFECTS,Gene Expression,erad,genf,moft,1,AFFECTS_GENFafctMOFT
C0026882,C1328949,AFFECTS,Mutation,RNA replication,genf,moft,1,AFFECTS_GENFafctMOFT
C1136031,C1328949,AFFECTS,RNA Interference,RNA replication,genf,moft,1,AFFECTS_GENFafctMOFT
C1148846,C1328949,AFFECTS,RNA Binding,RNA replication,genf,moft,1,AFFECTS_GENFafctMOFT
C1152412,C1328949,AFFECTS,RNA-directed RNA polymerase activity,RNA replication,genf,moft,1,AFFECTS_GENFafctMOFT
C1158013,C1257758,AFFECTS,Nonsense Mediated mRNA Decay,mRNA Decay,genf,moft,1,AFFECTS_GENFafctMOFT
C1158013,C1257759,AFFECTS,Nonsense Mediated mRNA Decay,mRNA Degradation,genf,moft,1,AFFECTS_GENFafctMOFT
C1511695,C1328949,AFFECTS,DNA Sequence Rearrangement,RNA replication,genf,moft,1,AFFECTS_GENFafctMOFT
C1516924,C1156205,AFFECTS,Epigenetic Process,histone methylation,genf,moft,1,AFFECTS_GENFafctMOFT
C1519323,C1328949,AFFECTS,Silent Mutation,RNA replication,genf,moft,1,AFFECTS_GENFafctMOFT
C1519619,C1257759,AFFECTS,Translational Repression,mRNA Degradation,genf,moft,1,AFFECTS_GENFafctMOFT
