cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017260,C1136169,AFFECTS,Gene Deletion,Pathogenicity,genf,orga,1,AFFECTS_GENFafctORGA
C0017262,C0020969,AFFECTS,Gene Expression,"Immunity, Innate",genf,orga,3,AFFECTS_GENFafctORGA
C0017263,C0220898,AFFECTS,Gene Expression Regulation,Predisposition -- attribute,genf,orga,1,AFFECTS_GENFafctORGA
C0017263,C4086242,AFFECTS,Gene Expression Regulation,Disease Phenotype,genf,orga,1,AFFECTS_GENFafctORGA
C0017393,C0220898,AFFECTS,Genetic Markers,Predisposition -- attribute,genf,orga,1,AFFECTS_GENFafctORGA
C0026882,C0085732,AFFECTS,Mutation,Ability,genf,orga,19,AFFECTS_GENFafctORGA
C0026882,C0220898,AFFECTS,Mutation,Predisposition -- attribute,genf,orga,6,AFFECTS_GENFafctORGA
C0026882,C0489786,AFFECTS,Mutation,Height,genf,orga,1,AFFECTS_GENFafctORGA
C0026882,C0599954,AFFECTS,Mutation,virus tropism,genf,orga,1,AFFECTS_GENFafctORGA
C0026882,C0949285,AFFECTS,Mutation,"Antibiotic Resistance, Microbial",genf,orga,1,AFFECTS_GENFafctORGA
C0026882,C1136169,AFFECTS,Mutation,Pathogenicity,genf,orga,7,AFFECTS_GENFafctORGA
C0026882,C1537068,AFFECTS,Mutation,Virus Internalization,genf,orga,5,AFFECTS_GENFafctORGA
C0026882,C4042916,AFFECTS,Mutation,Genetic Background,genf,orga,2,AFFECTS_GENFafctORGA
C0032529,C0020969,AFFECTS,Genetic Polymorphism,"Immunity, Innate",genf,orga,1,AFFECTS_GENFafctORGA
C0032529,C0085732,AFFECTS,Genetic Polymorphism,Ability,genf,orga,2,AFFECTS_GENFafctORGA
C0032529,C0220898,AFFECTS,Genetic Polymorphism,Predisposition -- attribute,genf,orga,16,AFFECTS_GENFafctORGA
C0032529,C1136169,AFFECTS,Genetic Polymorphism,Pathogenicity,genf,orga,2,AFFECTS_GENFafctORGA
C0034865,C0085732,AFFECTS,"Recombination, Genetic",Ability,genf,orga,1,AFFECTS_GENFafctORGA
C0034865,C0242960,AFFECTS,"Recombination, Genetic",Genetic Heterogeneity,genf,orga,2,AFFECTS_GENFafctORGA
C0034865,C1136169,AFFECTS,"Recombination, Genetic",Pathogenicity,genf,orga,5,AFFECTS_GENFafctORGA
C0035380,C0085732,AFFECTS,Reverse Transcription,Ability,genf,orga,1,AFFECTS_GENFafctORGA
C0040649,C0020969,AFFECTS,"Transcription, Genetic","Immunity, Innate",genf,orga,3,AFFECTS_GENFafctORGA
C0040649,C0085732,AFFECTS,"Transcription, Genetic",Ability,genf,orga,1,AFFECTS_GENFafctORGA
C0040649,C0220898,AFFECTS,"Transcription, Genetic",Predisposition -- attribute,genf,orga,2,AFFECTS_GENFafctORGA
C0040649,C1706211,AFFECTS,"Transcription, Genetic",Charge (electrical),genf,orga,1,AFFECTS_GENFafctORGA
C0162493,C0020969,AFFECTS,Transcriptional Activation,"Immunity, Innate",genf,orga,4,AFFECTS_GENFafctORGA
