cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017260,C0007227,AFFECTS,Gene Deletion,Cardiovascular Physiological Phenomena,genf,ortf,1,AFFECTS_GENFafctORTF
C0017262,C1159892,AFFECTS,Gene Expression,epidermal cell differentiation,genf,ortf,1,AFFECTS_GENFafctORTF
C0026882,C0599855,AFFECTS,Mutation,neurodevelopment,genf,ortf,1,AFFECTS_GENFafctORTF
C0026882,C1123009,AFFECTS,Mutation,vasculogenesis,genf,ortf,1,AFFECTS_GENFafctORTF
C0040649,C0232164,AFFECTS,"Transcription, Genetic",Cardiac function,genf,ortf,1,AFFECTS_GENFafctORTF
C0162493,C0302600,AFFECTS,Transcriptional Activation,Angiogenic Process,genf,ortf,1,AFFECTS_GENFafctORTF
C0314621,C0036658,AFFECTS,Operator gene,Esthesia,genf,ortf,1,AFFECTS_GENFafctORTF
C0596609,C0035245,AFFECTS,Gene-Environment Interaction,Respiratory physiology,genf,ortf,1,AFFECTS_GENFafctORTF
C0597360,C0035245,AFFECTS,receptor expression,Respiratory physiology,genf,ortf,1,AFFECTS_GENFafctORTF
C1136031,C0021055,AFFECTS,RNA Interference,Immunologic Memory,genf,ortf,1,AFFECTS_GENFafctORTF
C1514248,C0232164,AFFECTS,Post-Transcriptional Regulation,Cardiac function,genf,ortf,1,AFFECTS_GENFafctORTF
C1516924,C1817756,AFFECTS,Epigenetic Process,Immune System Processes,genf,ortf,1,AFFECTS_GENFafctORTF
