cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012151,C1527304,AFFECTS,Diesel Exhaust,Allergic Reaction,hops,patf,1,AFFECTS_HOPSafctPATF
C0014264,C1155266,AFFECTS,Endotoxins,inflammatory response,hops,patf,1,AFFECTS_HOPSafctPATF
C0018096,C3714514,AFFECTS,Gossypol,Infection,hops,patf,2,AFFECTS_HOPSafctPATF
C0022108,C0027540,AFFECTS,Irritants,Necrosis,hops,patf,1,AFFECTS_HOPSafctPATF
C0026879,C0020517,AFFECTS,Mutagens,Hypersensitivity,hops,patf,1,AFFECTS_HOPSafctPATF
C0026879,C0432487,AFFECTS,Mutagens,Post-transplant lymphoproliferative disorder,hops,patf,1,AFFECTS_HOPSafctPATF
C0028017,C0028778,AFFECTS,Niclosamide,Obstruction,hops,patf,1,AFFECTS_HOPSafctPATF
C0028017,C3714514,AFFECTS,Niclosamide,Infection,hops,patf,1,AFFECTS_HOPSafctPATF
C0037366,C0020564,AFFECTS,Smoke,Hypertrophy,hops,patf,1,AFFECTS_HOPSafctPATF
C0039635,C0027686,AFFECTS,Tetrachlorodibenzodioxin,Pathologic Neovascularization,hops,patf,1,AFFECTS_HOPSafctPATF
C0039637,C2911645,AFFECTS,Tetrachloroethylene,Weight Loss Adverse Event,hops,patf,1,AFFECTS_HOPSafctPATF
C0116567,C3714514,AFFECTS,"pydrin, (S-(R*,R*))-isomer",Infection,hops,patf,1,AFFECTS_HOPSafctPATF
C0599786,C3714514,AFFECTS,pollutant,Infection,hops,patf,1,AFFECTS_HOPSafctPATF
C0729417,C0242781,AFFECTS,Mosquito repellant,disease transmission,hops,patf,1,AFFECTS_HOPSafctPATF
