cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001617,C0013081,AFFECTS,Adrenal Cortex Hormones,Down-Regulation,horm,celf,1,AFFECTS_HORMafctCELF
C0010124,C0041904,AFFECTS,Corticosterone,Up-Regulation (Physiology),horm,celf,1,AFFECTS_HORMafctCELF
C0012472,C0003261,AFFECTS,Dinoprostone,Antibody Formation,horm,celf,1,AFFECTS_HORMafctCELF
C0012472,C0041904,AFFECTS,Dinoprostone,Up-Regulation (Physiology),horm,celf,1,AFFECTS_HORMafctCELF
C0014939,C1155003,AFFECTS,Estrogens,B-Cell Activation,horm,celf,1,AFFECTS_HORMafctCELF
C0014939,C1155065,AFFECTS,Estrogens,T-Cell Activation,horm,celf,1,AFFECTS_HORMafctCELF
C0020268,C1160701,AFFECTS,Hydrocortisone,viral genome replication,horm,celf,1,AFFECTS_HORMafctCELF
C0028351,C0041904,AFFECTS,Norepinephrine,Up-Regulation (Physiology),horm,celf,1,AFFECTS_HORMafctCELF
C0033308,C1160520,AFFECTS,Progesterone,oocyte maturation,horm,celf,2,AFFECTS_HORMafctCELF
C0036884,C1817973,AFFECTS,Gonadal Steroid Hormones,Leukocyte Differentiation,horm,celf,1,AFFECTS_HORMafctCELF
C0723595,C0007620,AFFECTS,Tace,Cell Survival,horm,celf,1,AFFECTS_HORMafctCELF
