cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004565,C0302600,AFFECTS,"Melanoma, B16",Angiogenic Process,neop,ortf,1,AFFECTS_NEOPafctORTF
C0006826,C0302600,AFFECTS,Malignant Neoplasms,Angiogenic Process,neop,ortf,3,AFFECTS_NEOPafctORTF
C0007621,C0013936,AFFECTS,Neoplastic Cell Transformation,Embryonic Development,neop,ortf,1,AFFECTS_NEOPafctORTF
C0007621,C0302600,AFFECTS,Neoplastic Cell Transformation,Angiogenic Process,neop,ortf,1,AFFECTS_NEOPafctORTF
C0024299,C0021055,AFFECTS,Lymphoma,Immunologic Memory,neop,ortf,1,AFFECTS_NEOPafctORTF
C0024667,C0302600,AFFECTS,Animal Mammary Neoplasms,Angiogenic Process,neop,ortf,2,AFFECTS_NEOPafctORTF
C0027627,C0021516,AFFECTS,Neoplasm Metastasis,nerve supply,neop,ortf,1,AFFECTS_NEOPafctORTF
C0029925,C1160265,AFFECTS,Ovarian Carcinoma,female gonad development,neop,ortf,1,AFFECTS_NEOPafctORTF
C0598934,C0302600,AFFECTS,tumor growth,Angiogenic Process,neop,ortf,3,AFFECTS_NEOPafctORTF
C2939419,C0302600,AFFECTS,Secondary Neoplasm,Angiogenic Process,neop,ortf,2,AFFECTS_NEOPafctORTF
