cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005495,C0220781,AFFECTS,Origin of Life,Anabolism,npop,biof,2,AFFECTS_NPOPafctBIOF
C0010546,C0220781,AFFECTS,Cyclization,Anabolism,npop,biof,2,AFFECTS_NPOPafctBIOF
C0016315,C0232478,AFFECTS,Fluorescence,Ingestion,npop,biof,1,AFFECTS_NPOPafctBIOF
C0017982,C0042765,AFFECTS,glycosylation,Virulence,npop,biof,1,AFFECTS_NPOPafctBIOF
C0017982,C0220781,AFFECTS,glycosylation,Anabolism,npop,biof,4,AFFECTS_NPOPafctBIOF
C0017982,C1160638,AFFECTS,glycosylation,Viral life cycle,npop,biof,1,AFFECTS_NPOPafctBIOF
C0017982,C1721019,AFFECTS,glycosylation,Virus Attachment,npop,biof,2,AFFECTS_NPOPafctBIOF
C0020286,C0220781,AFFECTS,Hydrogenation,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0020291,C0042765,AFFECTS,Hydrolysis,Virulence,npop,biof,1,AFFECTS_NPOPafctBIOF
C0026051,C0220781,AFFECTS,microwave electromagnetic radiation,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0041625,C0220781,AFFECTS,Ultraviolet Rays,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0042333,C0042765,AFFECTS,Variation (Genetics),Virulence,npop,biof,4,AFFECTS_NPOPafctBIOF
C0042730,C0220781,AFFECTS,Viral Interference,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0086685,C0220781,AFFECTS,Natural Selection,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0243176,C0220781,AFFECTS,chemical composition,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0376525,C0220781,AFFECTS,Dimerization,Anabolism,npop,biof,2,AFFECTS_NPOPafctBIOF
C0450025,C0013203,AFFECTS,Environmental stimuli,Drug resistance,npop,biof,1,AFFECTS_NPOPafctBIOF
C0598197,C0220781,AFFECTS,contagion,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0868933,C0042765,AFFECTS,Climatic factors,Virulence,npop,biof,1,AFFECTS_NPOPafctBIOF
C1257888,C0220781,AFFECTS,Phase Transition,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C2348693,C0220781,AFFECTS,Flux,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C2718051,C0220781,AFFECTS,Climate Change,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C2936413,C1721019,AFFECTS,Host Range,Virus Attachment,npop,biof,1,AFFECTS_NPOPafctBIOF
C3826426,C0042765,AFFECTS,Dynamics,Virulence,npop,biof,1,AFFECTS_NPOPafctBIOF
C3826426,C0220781,AFFECTS,Dynamics,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C3826426,C1160638,AFFECTS,Dynamics,Viral life cycle,npop,biof,1,AFFECTS_NPOPafctBIOF
C3826426,C3714634,AFFECTS,Dynamics,Biological Processes,npop,biof,1,AFFECTS_NPOPafctBIOF
C3826426,C3894443,AFFECTS,Dynamics,reactive oxygen species biosynthetic process,npop,biof,1,AFFECTS_NPOPafctBIOF
