cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000379,C0021852,AFFECTS,"3,4-Methylenedioxyamphetamine","Intestines, Small",orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0000379,C0030274,AFFECTS,"3,4-Methylenedioxyamphetamine",Pancreas,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0001962,C0006104,AFFECTS,Ethanol,Brain,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0003174,C0682568,AFFECTS,Anthraquinones,membrane by function,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0012022,C0018787,AFFECTS,Diazoxide,Heart,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0020352,C0006901,AFFECTS,Hetastarch,Blood capillaries,orch,bpoc,2,AFFECTS_ORCHafctBPOC
C0022115,C0006104,AFFECTS,Isatin,Brain,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0022115,C0018787,AFFECTS,Isatin,Heart,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0023779,C0023884,AFFECTS,Lipids,Liver,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0023810,C0023884,AFFECTS,Lipopolysaccharides,Liver,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0030415,C0024109,AFFECTS,Paraffin,Lung,orch,bpoc,2,AFFECTS_ORCHafctBPOC
C0030415,C0819757,AFFECTS,Paraffin,Structure of parenchyma of lung,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0030883,C0024109,AFFECTS,Pentobarbital,Lung,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0030883,C0178784,AFFECTS,Pentobarbital,Organ,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0036189,C0021853,AFFECTS,Saponins,Intestines,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0039294,C0021853,AFFECTS,Tannic Acid,Intestines,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0040845,C0001613,AFFECTS,Tretinoin,Adrenal Cortex,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0040845,C0006104,AFFECTS,Tretinoin,Brain,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0041411,C0005953,AFFECTS,Turpentine,Bone Marrow,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0051561,C0005847,AFFECTS,amentoflavone,Blood Vessel,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0051561,C1882687,AFFECTS,amentoflavone,Rat Heart,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0052430,C0032718,AFFECTS,artemisinine,Portal vein structure,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0052432,C0032718,AFFECTS,artesunate,Portal vein structure,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0058330,C0023884,AFFECTS,dioscin,Liver,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0058903,C0018787,AFFECTS,ebselen,Heart,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0059747,C0694604,AFFECTS,ethyl acetate,Intermediate periventricular nucleus,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0061751,C0021853,AFFECTS,Glycyrrhizic Acid,Intestines,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0061751,C1184743,AFFECTS,Glycyrrhizic Acid,bony process,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0065067,C0005854,AFFECTS,lipoteichoic acid,Blood - brain barrier anatomy,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0065264,C1184743,AFFECTS,Luteolin,bony process,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0073591,C0024109,AFFECTS,rosoxacin,Lung,orch,bpoc,2,AFFECTS_ORCHafctBPOC
C0074992,C0022646,AFFECTS,sphingosine 1-phosphate,Kidney,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0083271,C1184743,AFFECTS,luteolin-7-glucoside,bony process,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0169014,C0927195,AFFECTS,erucylphosphocholine,Stroma,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0246904,C0006901,AFFECTS,Levosimendan,Blood capillaries,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0289313,C0022646,AFFECTS,rosiglitazone,Kidney,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0525678,C0005847,AFFECTS,rasagiline,Blood Vessel,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0525678,C0024109,AFFECTS,rasagiline,Lung,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0663099,C0018827,AFFECTS,cariporide,Heart Ventricle,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0672708,C0005854,AFFECTS,Vorinostat,Blood - brain barrier anatomy,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0718565,C0021853,AFFECTS,Anti-Diarrheal,Intestines,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0885297,C0022646,AFFECTS,"Eosinum, eosin, Homeopathic preparation",Kidney,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0949665,C0022646,AFFECTS,Fluoroquinolones,Kidney,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C0949665,C0023884,AFFECTS,Fluoroquinolones,Liver,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C1504945,C0018787,AFFECTS,INO 1001,Heart,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C2608320,C0205042,AFFECTS,Low-Dose Aspirin,Coronary artery,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C2728259,C0262304,AFFECTS,Program,pars postrema of the ventral lateral nucleus,orch,bpoc,1,AFFECTS_ORCHafctBPOC
C2746078,C0018787,AFFECTS,Linagliptin,Heart,orch,bpoc,1,AFFECTS_ORCHafctBPOC
