cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000934,C1156309,AFFECTS,Acclimatization,syncytium formation by plasma membrane fusion,orgf,celf,2,AFFECTS_ORGFafctCELF
C0000934,C1158770,AFFECTS,Acclimatization,Transcriptional Regulation,orgf,celf,1,AFFECTS_ORGFafctCELF
C0000934,C1159455,AFFECTS,Acclimatization,syncytium formation,orgf,celf,1,AFFECTS_ORGFafctCELF
C0000934,C3157010,AFFECTS,Acclimatization,phagosome maturation,orgf,celf,1,AFFECTS_ORGFafctCELF
C0000934,C3820514,AFFECTS,Acclimatization,bacteriophage maturation,orgf,celf,1,AFFECTS_ORGFafctCELF
C0000934,C4245966,AFFECTS,Acclimatization,Cell restriction,orgf,celf,1,AFFECTS_ORGFafctCELF
C0001811,C1155229,AFFECTS,Aging,Humoral immune response,orgf,celf,1,AFFECTS_ORGFafctCELF
C0001811,C1524026,AFFECTS,Aging,"Metabolic Process, Cellular",orgf,celf,1,AFFECTS_ORGFafctCELF
C0005615,C0003261,AFFECTS,Birth,Antibody Formation,orgf,celf,1,AFFECTS_ORGFafctCELF
C0005615,C1156309,AFFECTS,Birth,syncytium formation by plasma membrane fusion,orgf,celf,1,AFFECTS_ORGFafctCELF
C0005615,C1817973,AFFECTS,Birth,Leukocyte Differentiation,orgf,celf,1,AFFECTS_ORGFafctCELF
C0006159,C0020987,AFFECTS,Breeding,Immunocompetence,orgf,celf,1,AFFECTS_ORGFafctCELF
C0008810,C2610947,AFFECTS,Circadian Rhythms,mucus secretion,orgf,celf,1,AFFECTS_ORGFafctCELF
C0011065,C0007587,AFFECTS,Cessation of life,Cell Death,orgf,celf,1,AFFECTS_ORGFafctCELF
C0011065,C0007620,AFFECTS,Cessation of life,Cell Survival,orgf,celf,1,AFFECTS_ORGFafctCELF
C0011065,C0162638,AFFECTS,Cessation of life,Apoptosis,orgf,celf,1,AFFECTS_ORGFafctCELF
C0011065,C1156246,AFFECTS,Cessation of life,filamentous growth,orgf,celf,1,AFFECTS_ORGFafctCELF
C0011065,C3494415,AFFECTS,Cessation of life,Mitochondrial Dynamics,orgf,celf,1,AFFECTS_ORGFafctCELF
C0011065,C3546359,AFFECTS,Cessation of life,pro-apoptosis,orgf,celf,1,AFFECTS_ORGFafctCELF
C0011135,C0037083,AFFECTS,Defecation,Signal Transduction,orgf,celf,1,AFFECTS_ORGFafctCELF
C0012238,C0010813,AFFECTS,Digestion,Cytokinesis,orgf,celf,1,AFFECTS_ORGFafctCELF
C0012238,C0031308,AFFECTS,Digestion,Phagocytosis,orgf,celf,1,AFFECTS_ORGFafctCELF
C0013470,C0037083,AFFECTS,Eating,Signal Transduction,orgf,celf,1,AFFECTS_ORGFafctCELF
C0013470,C0596991,AFFECTS,Eating,myelination,orgf,celf,1,AFFECTS_ORGFafctCELF
C0014653,C0003261,AFFECTS,Equilibrium,Antibody Formation,orgf,celf,1,AFFECTS_ORGFafctCELF
C0014653,C0007587,AFFECTS,Equilibrium,Cell Death,orgf,celf,1,AFFECTS_ORGFafctCELF
C0014653,C0037083,AFFECTS,Equilibrium,Signal Transduction,orgf,celf,1,AFFECTS_ORGFafctCELF
C0014653,C0162638,AFFECTS,Equilibrium,Apoptosis,orgf,celf,1,AFFECTS_ORGFafctCELF
C0014653,C1155064,AFFECTS,Equilibrium,NK Cell Activation,orgf,celf,1,AFFECTS_ORGFafctCELF
C0014653,C1155229,AFFECTS,Equilibrium,Humoral immune response,orgf,celf,1,AFFECTS_ORGFafctCELF
C0014653,C1155342,AFFECTS,Equilibrium,cellular response to unfolded protein,orgf,celf,1,AFFECTS_ORGFafctCELF
C0014653,C1540661,AFFECTS,Equilibrium,cell fate,orgf,celf,1,AFFECTS_ORGFafctCELF
C0014653,C2610474,AFFECTS,Equilibrium,type I interferon signaling pathway,orgf,celf,1,AFFECTS_ORGFafctCELF
C0014653,C3546359,AFFECTS,Equilibrium,pro-apoptosis,orgf,celf,1,AFFECTS_ORGFafctCELF
C0015264,C3546359,AFFECTS,Exertion,pro-apoptosis,orgf,celf,1,AFFECTS_ORGFafctCELF
C0018270,C0004391,AFFECTS,Growth,Autophagy,orgf,celf,2,AFFECTS_ORGFafctCELF
C0018270,C0007595,AFFECTS,Growth,cell growth,orgf,celf,1,AFFECTS_ORGFafctCELF
C0018270,C0007613,AFFECTS,Growth,Cell physiology,orgf,celf,4,AFFECTS_ORGFafctCELF
C0018270,C0598948,AFFECTS,Growth,axonal guidance,orgf,celf,1,AFFECTS_ORGFafctCELF
C0018270,C0599952,AFFECTS,Growth,modulation by virus of host morphology or physiology,orgf,celf,1,AFFECTS_ORGFafctCELF
C0018270,C0887840,AFFECTS,Growth,Nuclear Export,orgf,celf,2,AFFECTS_ORGFafctCELF
C0018270,C1155711,AFFECTS,Growth,Stem Cell Self-Renewal,orgf,celf,1,AFFECTS_ORGFafctCELF
C0018270,C2752630,AFFECTS,Growth,terminal differentiation,orgf,celf,1,AFFECTS_ORGFafctCELF
C0019516,C1160186,AFFECTS,Hibernation,unidirectional conjugation,orgf,celf,1,AFFECTS_ORGFafctCELF
C0019868,C0004391,AFFECTS,Homeostasis,Autophagy,orgf,celf,2,AFFECTS_ORGFafctCELF
C0019868,C0162638,AFFECTS,Homeostasis,Apoptosis,orgf,celf,1,AFFECTS_ORGFafctCELF
C0019868,C1155229,AFFECTS,Homeostasis,Humoral immune response,orgf,celf,1,AFFECTS_ORGFafctCELF
C0019868,C2244223,AFFECTS,Homeostasis,cellular homeostasis,orgf,celf,1,AFFECTS_ORGFafctCELF
