cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001811,C0027746,AFFECTS,Aging,Nerve Degeneration,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0001811,C0242606,AFFECTS,Aging,Oxidative Stress,orgf,comd,2,AFFECTS_ORGFafctCOMD
C0001811,C0544901,AFFECTS,Aging,Nucleolar hypertrophy,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0011065,C0027746,AFFECTS,Cessation of life,Nerve Degeneration,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0014653,C0242606,AFFECTS,Equilibrium,Oxidative Stress,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0018270,C0596402,AFFECTS,Growth,cytotoxicity,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0019868,C1516373,AFFECTS,Homeostasis,Cellular Stress,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0019868,C4476796,AFFECTS,Homeostasis,Increased reactive oxygen species production,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0020967,C0242606,AFFECTS,Humoral Immunity,Oxidative Stress,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0042774,C0541642,AFFECTS,Virus Replication,Membrane Alteration,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0042774,C1512032,AFFECTS,Virus Replication,Dominant-Negative Mutation,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0043240,C0012860,AFFECTS,Wound Healing,DNA Damage,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0301872,C0242606,AFFECTS,Immune response,Oxidative Stress,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0301872,C0920672,AFFECTS,Immune response,virus pathogenesis,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0301872,C1705285,AFFECTS,Immune response,Mutation Abnormality,orgf,comd,1,AFFECTS_ORGFafctCOMD
C0678889,C0596402,AFFECTS,Immunoregulation,cytotoxicity,orgf,comd,1,AFFECTS_ORGFafctCOMD
C1136180,C1705285,AFFECTS,Disease Resistance,Mutation Abnormality,orgf,comd,1,AFFECTS_ORGFafctCOMD
C1155328,C0242606,AFFECTS,Antiviral Response,Oxidative Stress,orgf,comd,2,AFFECTS_ORGFafctCOMD
C1155328,C0599732,AFFECTS,Antiviral Response,cell injury,orgf,comd,1,AFFECTS_ORGFafctCOMD
C1160185,C1516373,AFFECTS,transduction,Cellular Stress,orgf,comd,1,AFFECTS_ORGFafctCOMD
C1327413,C0596402,AFFECTS,cytokine production,cytotoxicity,orgf,comd,1,AFFECTS_ORGFafctCOMD
C1327413,C1520002,AFFECTS,cytokine production,Viral Cell Proliferation,orgf,comd,1,AFFECTS_ORGFafctCOMD
C1752856,C0920672,AFFECTS,Host-Pathogen Interactions,virus pathogenesis,orgf,comd,1,AFFECTS_ORGFafctCOMD
