cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001811,C0008679,AFFECTS,Aging,Chronic disease,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0004614,C0009450,AFFECTS,Bacterial Adhesion,Communicable Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005486,C0042769,AFFECTS,Bioenergetics,Virus Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C0004096,AFFECTS,Birth,Asthma,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C0014179,AFFECTS,Birth,Endometritis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C0338474,AFFECTS,Birth,Central nervous system demyelination,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C1175175,AFFECTS,Birth,Severe Acute Respiratory Syndrome,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C1561643,AFFECTS,Birth,Chronic Kidney Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C2936328,AFFECTS,Birth,Neglected Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C3534575,AFFECTS,Birth,Animal Health,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005823,C0020538,AFFECTS,Blood Pressure,Hypertensive disease,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005823,C0020542,AFFECTS,Blood Pressure,Pulmonary Hypertension,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005823,C0034069,AFFECTS,Blood Pressure,Pulmonary Fibrosis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C0021400,AFFECTS,Breast Feeding,Influenza,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C0024894,AFFECTS,Breast Feeding,Mastitis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C0035243,AFFECTS,Breast Feeding,Respiratory Tract Infections,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C0043167,AFFECTS,Breast Feeding,Pertussis,orgf,dsyn,2,AFFECTS_ORGFafctDSYN
C0006159,C0009450,AFFECTS,Breeding,Communicable Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006159,C0042769,AFFECTS,Breeding,Virus Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006159,C0085209,AFFECTS,Breeding,"Encephalopathy, Bovine Spongiform",orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006159,C0340375,AFFECTS,Breeding,Subaortic stenosis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0008810,C0004096,AFFECTS,Circadian Rhythms,Asthma,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0008810,C0019340,AFFECTS,Circadian Rhythms,herpes,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0009253,C0001314,AFFECTS,Coitus,Acute Disease,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0011065,C0004096,AFFECTS,Cessation of life,Asthma,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0011065,C0011847,AFFECTS,Cessation of life,Diabetes,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0011065,C0014038,AFFECTS,Cessation of life,Encephalitis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0011065,C0021400,AFFECTS,Cessation of life,Influenza,orgf,dsyn,5,AFFECTS_ORGFafctDSYN
C0011065,C0023290,AFFECTS,Cessation of life,"Leishmaniasis, Visceral",orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0011065,C0024117,AFFECTS,Cessation of life,Chronic Obstructive Airway Disease,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0011065,C0037354,AFFECTS,Cessation of life,Smallpox,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0011065,C0042749,AFFECTS,Cessation of life,Viremia,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0011065,C0341703,AFFECTS,Cessation of life,Adult Fanconi syndrome,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0011065,C0748168,AFFECTS,Cessation of life,Pulmonary Pathology,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0011065,C1175175,AFFECTS,Cessation of life,Severe Acute Respiratory Syndrome,orgf,dsyn,3,AFFECTS_ORGFafctDSYN
