cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0018273,C0243176,AFFECTS,Growth Disorders,chemical composition,patf,npop,1,AFFECTS_PATFafctNPOP
C0020517,C0012222,AFFECTS,Hypersensitivity,Diffusion,patf,npop,1,AFFECTS_PATFafctNPOP
C0020517,C0027485,AFFECTS,Hypersensitivity,Natural Disasters,patf,npop,1,AFFECTS_PATFafctNPOP
C0020517,C0301630,AFFECTS,Hypersensitivity,Reduction (chemical),patf,npop,1,AFFECTS_PATFafctNPOP
C0020517,C0450025,AFFECTS,Hypersensitivity,Environmental stimuli,patf,npop,1,AFFECTS_PATFafctNPOP
C0020517,C1948023,AFFECTS,Hypersensitivity,Stimulation (motivation),patf,npop,1,AFFECTS_PATFafctNPOP
C0020517,C2348693,AFFECTS,Hypersensitivity,Flux,patf,npop,1,AFFECTS_PATFafctNPOP
C0020517,C2936413,AFFECTS,Hypersensitivity,Host Range,patf,npop,1,AFFECTS_PATFafctNPOP
C0021368,C0017982,AFFECTS,Inflammation,glycosylation,patf,npop,2,AFFECTS_PATFafctNPOP
C0021368,C0031164,AFFECTS,Inflammation,Permeability,patf,npop,1,AFFECTS_PATFafctNPOP
C0021368,C0450025,AFFECTS,Inflammation,Environmental stimuli,patf,npop,1,AFFECTS_PATFafctNPOP
C0024348,C2936412,AFFECTS,Lysis,Host Specificity,patf,npop,1,AFFECTS_PATFafctNPOP
C0027540,C0011682,AFFECTS,Necrosis,Desiccation,patf,npop,1,AFFECTS_PATFafctNPOP
C0028778,C2348693,AFFECTS,Obstruction,Flux,patf,npop,1,AFFECTS_PATFafctNPOP
C0151686,C3826426,AFFECTS,Growth retardation,Dynamics,patf,npop,1,AFFECTS_PATFafctNPOP
C0162633,C3826426,AFFECTS,Viral Shedding,Dynamics,patf,npop,1,AFFECTS_PATFafctNPOP
C0232342,C3826426,AFFECTS,Decreased vascular flow,Dynamics,patf,npop,1,AFFECTS_PATFafctNPOP
C0242781,C3826426,AFFECTS,disease transmission,Dynamics,patf,npop,6,AFFECTS_PATFafctNPOP
C0332448,C0013764,AFFECTS,Infiltration,elasticity,patf,npop,1,AFFECTS_PATFafctNPOP
C0332448,C3826426,AFFECTS,Infiltration,Dynamics,patf,npop,1,AFFECTS_PATFafctNPOP
C0410480,C0042333,AFFECTS,Avascular Necrosis of Femur Head,Variation (Genetics),patf,npop,1,AFFECTS_PATFafctNPOP
C1155266,C0017982,AFFECTS,inflammatory response,glycosylation,patf,npop,2,AFFECTS_PATFafctNPOP
C1520005,C0243052,AFFECTS,Viral Pathogenesis,Virus Physiological Phenomena,patf,npop,3,AFFECTS_PATFafctNPOP
C1520005,C2936412,AFFECTS,Viral Pathogenesis,Host Specificity,patf,npop,1,AFFECTS_PATFafctNPOP
C1704489,C0376706,AFFECTS,Extended Rotated Sidebent,Mechanics,patf,npop,1,AFFECTS_PATFafctNPOP
C1817978,C3826426,AFFECTS,acute inflammatory response,Dynamics,patf,npop,1,AFFECTS_PATFafctNPOP
C2717792,C3826426,AFFECTS,Airway Remodeling,Dynamics,patf,npop,1,AFFECTS_PATFafctNPOP
C3658208,C0031164,AFFECTS,Dysbiosis,Permeability,patf,npop,1,AFFECTS_PATFafctNPOP
C3714514,C0008946,AFFECTS,Infection,Climate,patf,npop,2,AFFECTS_PATFafctNPOP
C3714514,C0042333,AFFECTS,Infection,Variation (Genetics),patf,npop,1,AFFECTS_PATFafctNPOP
C3714514,C3826426,AFFECTS,Infection,Dynamics,patf,npop,2,AFFECTS_PATFafctNPOP
C3714514,C4042908,AFFECTS,Infection,Seroconversion,patf,npop,1,AFFECTS_PATFafctNPOP
C3714514,C4277617,AFFECTS,Infection,Life History Traits,patf,npop,1,AFFECTS_PATFafctNPOP
