cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0014272,C0005847,AFFECTS,Energy Metabolism,Blood Vessel,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C0018767,C0029894,AFFECTS,Hearing,Structure of otoconia,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C0020964,C0024109,AFFECTS,Immunity,Lung,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C0020964,C0037993,AFFECTS,Immunity,Spleen,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C0035203,C0035231,AFFECTS,Respiration,Respiratory Muscles,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C0242732,C0175325,AFFECTS,Tropism,Structure of infundibular stem of neurohypophysis,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C0242732,C0178784,AFFECTS,Tropism,Organ,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C0243144,C0018787,AFFECTS,Uptake,Heart,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C0243144,C0024109,AFFECTS,Uptake,Lung,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C0243144,C0504064,AFFECTS,Uptake,Secondary lymphoid organ,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C0597666,C0227192,AFFECTS,visual tracking,Inferior esophageal sphincter structure,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C1328821,C0015560,AFFECTS,tissue tropism,Fallopian Tubes,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C1328821,C0022646,AFFECTS,tissue tropism,Kidney,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C1328821,C0178784,AFFECTS,tissue tropism,Organ,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
C1514892,C0178784,AFFECTS,Resistance Process,Organ,phsf,bpoc,1,AFFECTS_PHSFafctBPOC
