cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0014272,C0027793,AFFECTS,Energy Metabolism,Synaptic Transmission,phsf,ortf,1,AFFECTS_PHSFafctORTF
C0020964,C0018951,AFFECTS,Immunity,Hematopoiesis,phsf,ortf,1,AFFECTS_PHSFafctORTF
C0020964,C0035245,AFFECTS,Immunity,Respiratory physiology,phsf,ortf,3,AFFECTS_PHSFafctORTF
C0020964,C0036658,AFFECTS,Immunity,Esthesia,phsf,ortf,1,AFFECTS_PHSFafctORTF
C0020964,C0302600,AFFECTS,Immunity,Angiogenic Process,phsf,ortf,1,AFFECTS_PHSFafctORTF
C0020964,C0683201,AFFECTS,Immunity,specific immunity,phsf,ortf,1,AFFECTS_PHSFafctORTF
C0035203,C0024112,AFFECTS,Respiration,Lung Compliance,phsf,ortf,1,AFFECTS_PHSFafctORTF
C0221102,C0232804,AFFECTS,Excretory function,Renal function,phsf,ortf,1,AFFECTS_PHSFafctORTF
C0243144,C1817756,AFFECTS,Uptake,Immune System Processes,phsf,ortf,1,AFFECTS_PHSFafctORTF
C0301944,C0034963,AFFECTS,Graft acceptance,Natural regeneration,phsf,ortf,1,AFFECTS_PHSFafctORTF
C0598282,C1160365,AFFECTS,nervous system development,neuroblast proliferation,phsf,ortf,1,AFFECTS_PHSFafctORTF
C0751982,C0311437,AFFECTS,Neutrophil Infiltration,Exudation,phsf,ortf,1,AFFECTS_PHSFafctORTF
C1511613,C0162337,AFFECTS,Cytokine Signaling Process,Vascular Permeability,phsf,ortf,1,AFFECTS_PHSFafctORTF
