cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003277,C0282629,AFFECTS,Anticholesteremic Agents,Virus Assembly,phsu,genf,1,AFFECTS_PHSUafctGENF
C0003451,C0026882,AFFECTS,Antiviral Agents,Mutation,phsu,genf,1,AFFECTS_PHSUafctGENF
C0004475,C0040649,AFFECTS,Azacitidine,"Transcription, Genetic",phsu,genf,1,AFFECTS_PHSUafctGENF
C0005525,C1152412,AFFECTS,Biological Response Modifiers,RNA-directed RNA polymerase activity,phsu,genf,1,AFFECTS_PHSUafctGENF
C0017066,C0026882,AFFECTS,Ganciclovir,Mutation,phsu,genf,2,AFFECTS_PHSUafctGENF
C0035525,C0026882,AFFECTS,Ribavirin,Mutation,phsu,genf,3,AFFECTS_PHSUafctGENF
C0035525,C0162735,AFFECTS,Ribavirin,Point Mutation,phsu,genf,1,AFFECTS_PHSUafctGENF
C0035525,C0598312,AFFECTS,Ribavirin,DNA Replication,phsu,genf,1,AFFECTS_PHSUafctGENF
C0071849,C1171362,AFFECTS,"pregna-4,17-diene-3,16-dione",protein expression,phsu,genf,1,AFFECTS_PHSUafctGENF
C0292819,C0017262,AFFECTS,fomivirsen,Gene Expression,phsu,genf,1,AFFECTS_PHSUafctGENF
C0772162,C1148846,AFFECTS,AROMATICS,RNA Binding,phsu,genf,1,AFFECTS_PHSUafctGENF
C0909381,C0026882,AFFECTS,valganciclovir,Mutation,phsu,genf,1,AFFECTS_PHSUafctGENF
C1443643,C0598312,AFFECTS,Proteasome inhibitor,DNA Replication,phsu,genf,1,AFFECTS_PHSUafctGENF
C1517498,C0598496,AFFECTS,Gene Transduction Agent,Gene Silencing,phsu,genf,1,AFFECTS_PHSUafctGENF
C1517498,C1136031,AFFECTS,Gene Transduction Agent,RNA Interference,phsu,genf,1,AFFECTS_PHSUafctGENF
C1520007,C0079868,AFFECTS,viral vector,"Mutagenesis, Insertional",phsu,genf,1,AFFECTS_PHSUafctGENF
C1520007,C0598496,AFFECTS,viral vector,Gene Silencing,phsu,genf,1,AFFECTS_PHSUafctGENF
C1520007,C1136031,AFFECTS,viral vector,RNA Interference,phsu,genf,1,AFFECTS_PHSUafctGENF
C1579410,C0026882,AFFECTS,Nucleoside Analogs,Mutation,phsu,genf,1,AFFECTS_PHSUafctGENF
C1579410,C0598312,AFFECTS,Nucleoside Analogs,DNA Replication,phsu,genf,1,AFFECTS_PHSUafctGENF
C1874451,C1149627,AFFECTS,Basis,helicase activity,phsu,genf,1,AFFECTS_PHSUafctGENF
C2954564,C1136031,AFFECTS,Suppressor,RNA Interference,phsu,genf,1,AFFECTS_PHSUafctGENF
C3166216,C0040649,AFFECTS,Prescribed medications,"Transcription, Genetic",phsu,genf,1,AFFECTS_PHSUafctGENF
C3205287,C0017262,AFFECTS,Terminator,Gene Expression,phsu,genf,1,AFFECTS_PHSUafctGENF
C3539125,C0026882,AFFECTS,other medicated shampoos in ATC,Mutation,phsu,genf,1,AFFECTS_PHSUafctGENF
C3539125,C0282572,AFFECTS,other medicated shampoos in ATC,"Frameshifting, Ribosomal",phsu,genf,1,AFFECTS_PHSUafctGENF
C3539125,C0678953,AFFECTS,other medicated shampoos in ATC,hereditary factors,phsu,genf,1,AFFECTS_PHSUafctGENF
C3539125,C1157562,AFFECTS,other medicated shampoos in ATC,translational elongation,phsu,genf,1,AFFECTS_PHSUafctGENF
C3812869,C0282629,AFFECTS,Medicated,Virus Assembly,phsu,genf,1,AFFECTS_PHSUafctGENF
