cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003209,C1512772,AFFECTS,Anti-Inflammatory Agents,Negative Regulation of Apoptosis,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0003209,C2247737,AFFECTS,Anti-Inflammatory Agents,toll-like receptor 7 signaling pathway,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0003211,C0301642,AFFECTS,"Anti-Inflammatory Agents, Non-Steroidal",Denaturation,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0003211,C1157323,AFFECTS,"Anti-Inflammatory Agents, Non-Steroidal",prostanoid biosynthetic process,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0003280,C1149595,AFFECTS,Anticoagulants,complement activity,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0003392,C4505258,AFFECTS,Antineoplastic Agents,Proteostasis,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0003451,C1157592,AFFECTS,Antiviral Agents,Nucleotide Biosynthesis,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0004482,C0597879,AFFECTS,Azathioprine,immunoreactivity,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0008318,C0678607,AFFECTS,Cholecalciferol,Hydrophobic Interactions,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0011777,C1150165,AFFECTS,Dexamethasone,dipeptidyl-peptidase activity,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0014695,C1518440,AFFECTS,Ergocalciferol,Nuclear Translocation,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0017066,C0597295,AFFECTS,Ganciclovir,Protein Biosynthesis,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0032414,C0031715,AFFECTS,Poly I-C,Phosphorylation,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0035525,C1328948,AFFECTS,Ribavirin,RNA biosynthesis,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0037215,C0031715,AFFECTS,Sitosterols,Phosphorylation,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0043474,C0599739,AFFECTS,Zidovudine,synergism,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0045093,C0033666,AFFECTS,gemcitabine,Post-Translational Protein Processing,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0045093,C1721101,AFFECTS,gemcitabine,Biosynthetic Pathways,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0050063,C1158044,AFFECTS,8-chloro-cyclic adenosine monophosphate,cAMP catabolic process,phsu,moft,2,AFFECTS_PHSUafctMOFT
C0050063,C1511437,AFFECTS,8-chloro-cyclic adenosine monophosphate,CFTR Pathway,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0138547,C0301641,AFFECTS,Prohibit,Macromolecular alteration,phsu,moft,1,AFFECTS_PHSUafctMOFT
C0597153,C1156530,AFFECTS,oxidoreductase inhibitor,cholesterol metabolism,phsu,moft,1,AFFECTS_PHSUafctMOFT
C1136946,C0598783,AFFECTS,alisol B,Lipid Metabolism,phsu,moft,1,AFFECTS_PHSUafctMOFT
C1268567,C2247725,AFFECTS,Protein-tyrosine kinase inhibitor,toll-like receptor 4 signaling pathway,phsu,moft,1,AFFECTS_PHSUafctMOFT
C1330330,C1321382,AFFECTS,Hand Sanitizers,Viricidal activity,phsu,moft,1,AFFECTS_PHSUafctMOFT
C1443643,C0597297,AFFECTS,Proteasome inhibitor,"Protein Degradation, Metabolic",phsu,moft,1,AFFECTS_PHSUafctMOFT
C1443643,C1519751,AFFECTS,Proteasome inhibitor,Ubiquitination,phsu,moft,1,AFFECTS_PHSUafctMOFT
C1445706,C0683140,AFFECTS,Microbial agent,drug metabolism,phsu,moft,1,AFFECTS_PHSUafctMOFT
C1614561,C0597358,AFFECTS,Polypodium Leucotomos,receptor binding,phsu,moft,1,AFFECTS_PHSUafctMOFT
C1874451,C1148583,AFFECTS,Basis,polysaccharide binding,phsu,moft,1,AFFECTS_PHSUafctMOFT
C1874451,C1176301,AFFECTS,Basis,RNA capping,phsu,moft,1,AFFECTS_PHSUafctMOFT
C2744846,C0031715,AFFECTS,CYT 387,Phosphorylation,phsu,moft,1,AFFECTS_PHSUafctMOFT
C2746052,C0031715,AFFECTS,mTOR Inhibitor,Phosphorylation,phsu,moft,1,AFFECTS_PHSUafctMOFT
C2983747,C0031715,AFFECTS,INK128,Phosphorylation,phsu,moft,1,AFFECTS_PHSUafctMOFT
C2987634,C1155589,AFFECTS,Agonist,cAMP-mediated signaling,phsu,moft,1,AFFECTS_PHSUafctMOFT
C2987634,C2247737,AFFECTS,Agonist,toll-like receptor 7 signaling pathway,phsu,moft,1,AFFECTS_PHSUafctMOFT
C3256468,C1151518,AFFECTS,citrate buffer,peroxidase activity,phsu,moft,1,AFFECTS_PHSUafctMOFT
C3539125,C0301641,AFFECTS,other medicated shampoos in ATC,Macromolecular alteration,phsu,moft,1,AFFECTS_PHSUafctMOFT
C3539125,C0872079,AFFECTS,other medicated shampoos in ATC,protein protein interaction,phsu,moft,1,AFFECTS_PHSUafctMOFT
C3539125,C1155363,AFFECTS,other medicated shampoos in ATC,TGF-Beta Receptor Signaling Pathway,phsu,moft,1,AFFECTS_PHSUafctMOFT
C3539125,C2247721,AFFECTS,other medicated shampoos in ATC,toll-like receptor 3 signaling pathway,phsu,moft,1,AFFECTS_PHSUafctMOFT
C3539125,C2717886,AFFECTS,other medicated shampoos in ATC,Cross Protection,phsu,moft,1,AFFECTS_PHSUafctMOFT
C3539957,C1157968,AFFECTS,opium alkaloids and derivative combination cough suppressants,collagen catabolic process,phsu,moft,1,AFFECTS_PHSUafctMOFT
C4305981,C1328948,AFFECTS,R411,RNA biosynthesis,phsu,moft,3,AFFECTS_PHSUafctMOFT
