cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017296,C0009528,AFFECTS,gene therapy,Complement Activation,topp,moft,1,AFFECTS_TOPPafctMOFT
C0017296,C1148560,AFFECTS,gene therapy,molecular_function,topp,moft,1,AFFECTS_TOPPafctMOFT
C0017296,C1704259,AFFECTS,gene therapy,Biochemical Pathway,topp,moft,1,AFFECTS_TOPPafctMOFT
C0020944,C0596957,AFFECTS,Immobilization,Molecular Dynamics,topp,moft,1,AFFECTS_TOPPafctMOFT
C0020971,C1157433,AFFECTS,Immunization,CD4 biosynthetic process,topp,moft,1,AFFECTS_TOPPafctMOFT
C0021107,C0596177,AFFECTS,Implantation procedure,Biocompatibility,topp,moft,1,AFFECTS_TOPPafctMOFT
C0021107,C1149098,AFFECTS,Implantation procedure,peptide binding,topp,moft,1,AFFECTS_TOPPafctMOFT
C0021107,C3242710,AFFECTS,Implantation procedure,molecular bond,topp,moft,1,AFFECTS_TOPPafctMOFT
C0023690,C0031715,AFFECTS,Ligation,Phosphorylation,topp,moft,1,AFFECTS_TOPPafctMOFT
C0035139,C2752240,AFFECTS,Surgical Replantation,Toll-like receptor binding,topp,moft,1,AFFECTS_TOPPafctMOFT
C0040861,C1257759,AFFECTS,Triage,mRNA Degradation,topp,moft,1,AFFECTS_TOPPafctMOFT
C0042196,C0178575,AFFECTS,Vaccination,cross immunity,topp,moft,1,AFFECTS_TOPPafctMOFT
C0042196,C2248788,AFFECTS,Vaccination,4-hydroxy-2-ketopimelate aldolase activity,topp,moft,2,AFFECTS_TOPPafctMOFT
C0052712,C1621396,AFFECTS,doxorubicin/mitomycin/vinblastine protocol,JNK Pathway,topp,moft,1,AFFECTS_TOPPafctMOFT
C0056633,C0598783,AFFECTS,cyclophosphamide/prednisone/vincristine protocol,Lipid Metabolism,topp,moft,1,AFFECTS_TOPPafctMOFT
C0056633,C0949765,AFFECTS,cyclophosphamide/prednisone/vincristine protocol,Polyadenylation,topp,moft,1,AFFECTS_TOPPafctMOFT
C0065764,C0598958,AFFECTS,bleomycin/cisplatin/methotrexate protocol,Neuroprotection,topp,moft,2,AFFECTS_TOPPafctMOFT
C0065764,C3179232,AFFECTS,bleomycin/cisplatin/methotrexate protocol,p38 Kinase Pathway,topp,moft,1,AFFECTS_TOPPafctMOFT
C0079613,C1328948,AFFECTS,Adoptive Immunotherapy,RNA biosynthesis,topp,moft,1,AFFECTS_TOPPafctMOFT
C0149783,C0598783,AFFECTS,Steroid therapy,Lipid Metabolism,topp,moft,3,AFFECTS_TOPPafctMOFT
C0150141,C1151518,AFFECTS,Bathing,peroxidase activity,topp,moft,2,AFFECTS_TOPPafctMOFT
C0152060,C0033666,AFFECTS,Transection (procedure),Post-Translational Protein Processing,topp,moft,1,AFFECTS_TOPPafctMOFT
C0152060,C1149205,AFFECTS,Transection (procedure),interleukin-27 receptor activity,topp,moft,1,AFFECTS_TOPPafctMOFT
C0152060,C1149888,AFFECTS,Transection (procedure),alkaline phosphatase activity,topp,moft,1,AFFECTS_TOPPafctMOFT
C0152060,C1150635,AFFECTS,Transection (procedure),stem cell factor receptor activity,topp,moft,1,AFFECTS_TOPPafctMOFT
C0152060,C1151518,AFFECTS,Transection (procedure),peroxidase activity,topp,moft,2,AFFECTS_TOPPafctMOFT
C0152060,C1157990,AFFECTS,Transection (procedure),Sumoylation,topp,moft,1,AFFECTS_TOPPafctMOFT
C0184967,C1515033,AFFECTS,Insertion of pack (procedure),Substrate Interaction,topp,moft,1,AFFECTS_TOPPafctMOFT
C0185026,C1149306,AFFECTS,Plication,immunoglobulin binding,topp,moft,1,AFFECTS_TOPPafctMOFT
C0185026,C1157980,AFFECTS,Plication,erad,topp,moft,1,AFFECTS_TOPPafctMOFT
C0185027,C1819081,AFFECTS,Imbrication (procedure),SUMO binding,topp,moft,1,AFFECTS_TOPPafctMOFT
C0185115,C1157320,AFFECTS,Extraction,icosanoid biosynthetic process,topp,moft,1,AFFECTS_TOPPafctMOFT
C0185115,C1157980,AFFECTS,Extraction,erad,topp,moft,1,AFFECTS_TOPPafctMOFT
C0185115,C1328949,AFFECTS,Extraction,RNA replication,topp,moft,1,AFFECTS_TOPPafctMOFT
C0193398,C1323367,AFFECTS,Partial hepatectomy,epidermal growth factor receptor binding activity,topp,moft,1,AFFECTS_TOPPafctMOFT
C0203597,C0018903,AFFECTS,hyperthermia treatment,Hemagglutination,topp,moft,1,AFFECTS_TOPPafctMOFT
C0203597,C1621287,AFFECTS,hyperthermia treatment,antibody activity,topp,moft,1,AFFECTS_TOPPafctMOFT
C0204514,C1148582,AFFECTS,Structural analysis,carbohydrate binding,topp,moft,1,AFFECTS_TOPPafctMOFT
