cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001560,C0301872,AFFECTS,"Administration, Intranasal",Immune response,topp,orgf,2,AFFECTS_TOPPafctORGF
C0001560,C1155328,AFFECTS,"Administration, Intranasal",Antiviral Response,topp,orgf,2,AFFECTS_TOPPafctORGF
C0001563,C0301872,AFFECTS,"Administration, Oral",Immune response,topp,orgf,1,AFFECTS_TOPPafctORGF
C0001563,C1327441,AFFECTS,"Administration, Oral",negative regulation of inflammatory response,topp,orgf,1,AFFECTS_TOPPafctORGF
C0002903,C0005823,AFFECTS,Anesthesia procedures,Blood Pressure,topp,orgf,1,AFFECTS_TOPPafctORGF
C0007430,C0004614,AFFECTS,Catheterization,Bacterial Adhesion,topp,orgf,1,AFFECTS_TOPPafctORGF
C0007876,C0022864,AFFECTS,Cesarean section,Labor (Childbirth),topp,orgf,1,AFFECTS_TOPPafctORGF
C0009429,C0301872,AFFECTS,Combined Modality Therapy,Immune response,topp,orgf,3,AFFECTS_TOPPafctORGF
C0009429,C1155328,AFFECTS,Combined Modality Therapy,Antiviral Response,topp,orgf,2,AFFECTS_TOPPafctORGF
C0013216,C0015895,AFFECTS,Pharmacotherapy,Fertility,topp,orgf,2,AFFECTS_TOPPafctORGF
C0013216,C0018270,AFFECTS,Pharmacotherapy,Growth,topp,orgf,1,AFFECTS_TOPPafctORGF
C0013806,C0005823,AFFECTS,Electroconvulsive Therapy,Blood Pressure,topp,orgf,1,AFFECTS_TOPPafctORGF
C0015250,C1160185,AFFECTS,Complete excision,transduction,topp,orgf,1,AFFECTS_TOPPafctORGF
C0015357,C0011065,AFFECTS,Extracorporeal Membrane Oxygenation,Cessation of life,topp,orgf,1,AFFECTS_TOPPafctORGF
C0017118,C0020966,AFFECTS,Gastrectomy,Cellular Immunity,topp,orgf,1,AFFECTS_TOPPafctORGF
C0017296,C0006159,AFFECTS,gene therapy,Breeding,topp,orgf,2,AFFECTS_TOPPafctORGF
C0017296,C0011065,AFFECTS,gene therapy,Cessation of life,topp,orgf,2,AFFECTS_TOPPafctORGF
C0017296,C0015895,AFFECTS,gene therapy,Fertility,topp,orgf,2,AFFECTS_TOPPafctORGF
C0017296,C0301872,AFFECTS,gene therapy,Immune response,topp,orgf,1,AFFECTS_TOPPafctORGF
C0017296,C0678723,AFFECTS,gene therapy,Biologic Development,topp,orgf,1,AFFECTS_TOPPafctORGF
C0017296,C0699900,AFFECTS,gene therapy,Catabolism,topp,orgf,1,AFFECTS_TOPPafctORGF
C0017296,C1752856,AFFECTS,gene therapy,Host-Pathogen Interactions,topp,orgf,1,AFFECTS_TOPPafctORGF
C0018821,C0014653,AFFECTS,Cardiac Surgery procedures,Equilibrium,topp,orgf,1,AFFECTS_TOPPafctORGF
C0018821,C0019868,AFFECTS,Cardiac Surgery procedures,Homeostasis,topp,orgf,1,AFFECTS_TOPPafctORGF
C0020971,C0005615,AFFECTS,Immunization,Birth,topp,orgf,2,AFFECTS_TOPPafctORGF
C0020971,C0018270,AFFECTS,Immunization,Growth,topp,orgf,2,AFFECTS_TOPPafctORGF
C0020971,C0020966,AFFECTS,Immunization,Cellular Immunity,topp,orgf,1,AFFECTS_TOPPafctORGF
C0020971,C0020967,AFFECTS,Immunization,Humoral Immunity,topp,orgf,1,AFFECTS_TOPPafctORGF
C0020971,C0042774,AFFECTS,Immunization,Virus Replication,topp,orgf,1,AFFECTS_TOPPafctORGF
C0020971,C0301872,AFFECTS,Immunization,Immune response,topp,orgf,5,AFFECTS_TOPPafctORGF
C0020971,C0678209,AFFECTS,Immunization,Adaptive Immunity,topp,orgf,1,AFFECTS_TOPPafctORGF
C0020971,C0678889,AFFECTS,Immunization,Immunoregulation,topp,orgf,1,AFFECTS_TOPPafctORGF
C0020974,C0301872,AFFECTS,passive immunization procedure,Immune response,topp,orgf,1,AFFECTS_TOPPafctORGF
C0021079,C0042774,AFFECTS,Therapeutic immunosuppression,Virus Replication,topp,orgf,1,AFFECTS_TOPPafctORGF
C0021079,C1819430,AFFECTS,Therapeutic immunosuppression,type I interferon production,topp,orgf,1,AFFECTS_TOPPafctORGF
C0021083,C0042789,AFFECTS,Immunotherapy,Vision,topp,orgf,1,AFFECTS_TOPPafctORGF
C0021107,C0014653,AFFECTS,Implantation procedure,Equilibrium,topp,orgf,1,AFFECTS_TOPPafctORGF
C0021107,C0018270,AFFECTS,Implantation procedure,Growth,topp,orgf,1,AFFECTS_TOPPafctORGF
C0021107,C0042774,AFFECTS,Implantation procedure,Virus Replication,topp,orgf,2,AFFECTS_TOPPafctORGF
C0021489,C0009253,AFFECTS,intradermal injection,Coitus,topp,orgf,1,AFFECTS_TOPPafctORGF
C0021925,C1510470,AFFECTS,Intubation,Motility,topp,orgf,1,AFFECTS_TOPPafctORGF
C0023690,C1510470,AFFECTS,Ligation,Motility,topp,orgf,1,AFFECTS_TOPPafctORGF
C0024257,C0011065,AFFECTS,Lymphocyte Depletion,Cessation of life,topp,orgf,1,AFFECTS_TOPPafctORGF
C0034386,C0026649,AFFECTS,Quarantine,Movement,topp,orgf,1,AFFECTS_TOPPafctORGF
C0035139,C0042774,AFFECTS,Surgical Replantation,Virus Replication,topp,orgf,2,AFFECTS_TOPPafctORGF
C0040590,C0008071,AFFECTS,Tracheostomy procedure,Child Development,topp,orgf,1,AFFECTS_TOPPafctORGF
C0040732,C0019868,AFFECTS,Transplantation,Homeostasis,topp,orgf,1,AFFECTS_TOPPafctORGF
C0040808,C0025519,AFFECTS,Treatment Protocols,Metabolism,topp,orgf,1,AFFECTS_TOPPafctORGF
C0040808,C0301872,AFFECTS,Treatment Protocols,Immune response,topp,orgf,1,AFFECTS_TOPPafctORGF
C0041281,C0011135,AFFECTS,Tube feeding of patient,Defecation,topp,orgf,1,AFFECTS_TOPPafctORGF
C0042196,C0000934,AFFECTS,Vaccination,Acclimatization,topp,orgf,1,AFFECTS_TOPPafctORGF
C0042196,C0001811,AFFECTS,Vaccination,Aging,topp,orgf,1,AFFECTS_TOPPafctORGF
C0042196,C0011065,AFFECTS,Vaccination,Cessation of life,topp,orgf,1,AFFECTS_TOPPafctORGF
C0042196,C0014653,AFFECTS,Vaccination,Equilibrium,topp,orgf,1,AFFECTS_TOPPafctORGF
C0042196,C0018270,AFFECTS,Vaccination,Growth,topp,orgf,3,AFFECTS_TOPPafctORGF
C0042196,C0020967,AFFECTS,Vaccination,Humoral Immunity,topp,orgf,1,AFFECTS_TOPPafctORGF
C0042196,C0026649,AFFECTS,Vaccination,Movement,topp,orgf,1,AFFECTS_TOPPafctORGF
C0042196,C0032961,AFFECTS,Vaccination,Pregnancy,topp,orgf,2,AFFECTS_TOPPafctORGF
C0042196,C0042774,AFFECTS,Vaccination,Virus Replication,topp,orgf,3,AFFECTS_TOPPafctORGF
C0042196,C0301872,AFFECTS,Vaccination,Immune response,topp,orgf,15,AFFECTS_TOPPafctORGF
C0042196,C1160185,AFFECTS,Vaccination,transduction,topp,orgf,1,AFFECTS_TOPPafctORGF
