cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C0011991,ASSOCIATED_WITH,Antibodies,Diarrhea,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0004358,C1517205,ASSOCIATED_WITH,Autoantibodies,Flare,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0009316,C0011991,ASSOCIATED_WITH,Colistin,Diarrhea,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0010654,C0030193,ASSOCIATED_WITH,Cysteine,Pain,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0021027,C0011991,ASSOCIATED_WITH,Immunoglobulins,Diarrhea,aapp,sosy,2,ASSOCIATED_WITH_AAPPaswtSOSY
C0021743,C0392171,ASSOCIATED_WITH,Interferon Type I,Influenza-like symptoms,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0021760,C0013404,ASSOCIATED_WITH,Interleukin-6,Dyspnea,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0024337,C0030193,ASSOCIATED_WITH,Lysine,Pain,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0026832,C0006625,ASSOCIATED_WITH,Muscle Proteins,Cachexia,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0027895,C0010201,ASSOCIATED_WITH,Neuropeptides,Chronic cough,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0032120,C1517205,ASSOCIATED_WITH,Plasma Proteins,Flare,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0032824,C0030193,ASSOCIATED_WITH,Potassium Channel,Pain,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0034830,C0030193,ASSOCIATED_WITH,Nicotinic Receptors,Pain,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0040690,C0036572,ASSOCIATED_WITH,Transforming Growth Factor beta,Seizures,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0042285,C0036572,ASSOCIATED_WITH,Valine,Seizures,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0042736,C0427008,ASSOCIATED_WITH,Viral Proteins,Stiffness,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0050397,C0278008,ASSOCIATED_WITH,acceleratory factor from growth hormone,Altered bowel function,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0050461,C0239182,ASSOCIATED_WITH,racecadotril,Watery diarrhea,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0051979,C0085631,ASSOCIATED_WITH,anti-IgG,Agitation,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
C0059973,C0037088,ASSOCIATED_WITH,ezrin,Signs and Symptoms,aapp,sosy,1,ASSOCIATED_WITH_AAPPaswtSOSY
