cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004096,C0084692,ASSOCIATED_WITH,Asthma,Pulmonary Surfactant-Associated Protein D,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0010356,C0085295,ASSOCIATED_WITH,Cross Infection,Interleukin-10,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0016627,C0475463,ASSOCIATED_WITH,Influenza in Birds,"Antibodies, Neutralizing",dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0021400,C0017968,ASSOCIATED_WITH,Influenza,Glycoproteins,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0021400,C1336763,ASSOCIATED_WITH,Influenza,Toll-Like Receptor Family Gene,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0022073,C4284302,ASSOCIATED_WITH,Iridocyclitis,EHD1 wt Allele,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0022116,C0145185,ASSOCIATED_WITH,Ischemia,terlipressin,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0024286,C4284302,ASSOCIATED_WITH,Lymphogranuloma Venereum,EHD1 wt Allele,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0026846,C0164786,ASSOCIATED_WITH,Muscular Atrophy,Proto-Oncogene Proteins c-akt,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0028754,C3811629,ASSOCIATED_WITH,Obesity,Anti-Drug Antibody,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0029882,C0021756,ASSOCIATED_WITH,Otitis Media,Interleukin-2,dsyn,aapp,2,ASSOCIATED_WITH_DSYNaswtAAPP
C0031154,C1883559,ASSOCIATED_WITH,Peritonitis,Wild Type,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0031154,C4281719,ASSOCIATED_WITH,Peritonitis,Protein S100-A8,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0042769,C3811629,ASSOCIATED_WITH,Virus Diseases,Anti-Drug Antibody,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0087086,C0084795,ASSOCIATED_WITH,Thrombus,Tristetraprolin,dsyn,aapp,2,ASSOCIATED_WITH_DSYNaswtAAPP
C0155877,C1334103,ASSOCIATED_WITH,Allergic asthma,IL13 gene,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0524851,C0010646,ASSOCIATED_WITH,Neurodegenerative Disorders,Cystatins,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0595916,C2985160,ASSOCIATED_WITH,Toxic nephropathy,ARID1A wt Allele,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0745283,C0752065,ASSOCIATED_WITH,INFECTIOUS PROCESS,rab GTP-Binding Proteins,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0848548,C0057256,ASSOCIATED_WITH,hypertensive nephropathy,Defensins,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C0878751,C4321251,ASSOCIATED_WITH,late pregnancy,CYCS wt Allele,dsyn,aapp,2,ASSOCIATED_WITH_DSYNaswtAAPP
C1373218,C0079189,ASSOCIATED_WITH,Decreased Immunologic Activity [PE],cytokine,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C1373218,C1417249,ASSOCIATED_WITH,Decreased Immunologic Activity [PE],MRC1 gene,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
C3875321,C0010646,ASSOCIATED_WITH,Inflammatory dermatosis,Cystatins,dsyn,aapp,1,ASSOCIATED_WITH_DSYNaswtAAPP
