cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003850,C0043119,ASSOCIATED_WITH,Arteriosclerosis,Werner Syndrome,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0004096,C0276447,ASSOCIATED_WITH,Asthma,Rhinovirus infection,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0004096,C0339916,ASSOCIATED_WITH,Asthma,Viral upper respiratory tract infection,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0006271,C0035243,ASSOCIATED_WITH,Bronchiolitis,Respiratory Tract Infections,dsyn,dsyn,2,ASSOCIATED_WITH_DSYNaswtDSYN
C0006277,C0035243,ASSOCIATED_WITH,Bronchitis,Respiratory Tract Infections,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0009443,C0035460,ASSOCIATED_WITH,Common Cold,"Rhinitis, Vasomotor",dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C0004364,ASSOCIATED_WITH,Exanthema,Autoimmune Diseases,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C0009763,ASSOCIATED_WITH,Exanthema,Conjunctivitis,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C0015231,ASSOCIATED_WITH,Exanthema,Exanthema Subitum,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C0021400,ASSOCIATED_WITH,Exanthema,Influenza,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C0026636,ASSOCIATED_WITH,Exanthema,Mouth Diseases,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C0027765,ASSOCIATED_WITH,Exanthema,nervous system disorder,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C0035400,ASSOCIATED_WITH,Exanthema,Reye Syndrome,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C0036472,ASSOCIATED_WITH,Exanthema,Scrub Typhus,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C0042769,ASSOCIATED_WITH,Exanthema,Virus Diseases,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C0743841,ASSOCIATED_WITH,Exanthema,Disorder characterized by fever,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C1290344,ASSOCIATED_WITH,Exanthema,Nonspecific interstitial pneumonia,dsyn,dsyn,2,ASSOCIATED_WITH_DSYNaswtDSYN
C0015230,C1290884,ASSOCIATED_WITH,Exanthema,Inflammatory disorder,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0020538,C0029408,ASSOCIATED_WITH,Hypertensive disease,Degenerative polyarthritis,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0026769,C0524851,ASSOCIATED_WITH,Multiple Sclerosis,Neurodegenerative Disorders,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
C0029453,C0035579,ASSOCIATED_WITH,Osteopenia,Rickets,dsyn,dsyn,1,ASSOCIATED_WITH_DSYNaswtDSYN
