cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001126,C0040649,ASSOCIATED_WITH,Renal tubular acidosis,"Transcription, Genetic",dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0001126,C1148673,ASSOCIATED_WITH,Renal tubular acidosis,dna binding,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0001126,C1158480,ASSOCIATED_WITH,Renal tubular acidosis,Depurination,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0001126,C1158817,ASSOCIATED_WITH,Renal tubular acidosis,viral transcription,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0004096,C0032529,ASSOCIATED_WITH,Asthma,Genetic Polymorphism,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0004096,C1956002,ASSOCIATED_WITH,Asthma,INDEL Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0004364,C0026882,ASSOCIATED_WITH,Autoimmune Diseases,Mutation,dsyn,genf,3,ASSOCIATED_WITH_DSYNaswtGENF
C0006845,C0026882,ASSOCIATED_WITH,"Candidiasis, Chronic Mucocutaneous",Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0007194,C0026882,ASSOCIATED_WITH,Hypertrophic Cardiomyopathy,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0007570,C0032529,ASSOCIATED_WITH,Celiac Disease,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0007785,C0017263,ASSOCIATED_WITH,Cerebral Infarction,Gene Expression Regulation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0009447,C0026882,ASSOCIATED_WITH,Common Variable Immunodeficiency,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0009450,C0017262,ASSOCIATED_WITH,Communicable Diseases,Gene Expression,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0009663,C1148756,ASSOCIATED_WITH,Condylomata Acuminata,telomerase activity,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0010346,C0032529,ASSOCIATED_WITH,Crohn Disease,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C0282572,ASSOCIATED_WITH,"Ecthyma, Contagious","Frameshifting, Ribosomal",dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C0683143,ASSOCIATED_WITH,"Ecthyma, Contagious",RNA metabolic process,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C1152412,ASSOCIATED_WITH,"Ecthyma, Contagious",RNA-directed RNA polymerase activity,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C1158728,ASSOCIATED_WITH,"Ecthyma, Contagious",RNA Processing,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C1622984,ASSOCIATED_WITH,"Ecthyma, Contagious",mRNA synthesis,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C1749524,ASSOCIATED_WITH,"Ecthyma, Contagious",mRNA processing,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C2753337,ASSOCIATED_WITH,"Ecthyma, Contagious",rolling circle DNA replication,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014175,C1158016,ASSOCIATED_WITH,Endometriosis,rRNA catabolic process,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014493,C0599773,ASSOCIATED_WITH,Epidemic keratoconjunctivitis,Homologous Recombination,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014518,C0035380,ASSOCIATED_WITH,Toxic Epidermal Necrolysis,Reverse Transcription,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014518,C0598312,ASSOCIATED_WITH,Toxic Epidermal Necrolysis,DNA Replication,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014544,C0026882,ASSOCIATED_WITH,Epilepsy,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014548,C0026882,ASSOCIATED_WITH,"Epilepsy, Generalized",Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014804,C0026882,ASSOCIATED_WITH,Erythromelalgia,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0018081,C0598312,ASSOCIATED_WITH,Gonorrhea,DNA Replication,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0019163,C0032529,ASSOCIATED_WITH,Hepatitis B,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0019163,C1158817,ASSOCIATED_WITH,Hepatitis B,viral transcription,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0019196,C0032529,ASSOCIATED_WITH,Hepatitis C,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0019247,C0026882,ASSOCIATED_WITH,Hereditary Diseases,Mutation,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0019247,C0683231,ASSOCIATED_WITH,Hereditary Diseases,mendelian inheritance,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0020538,C0678951,ASSOCIATED_WITH,Hypertensive disease,gene polymorphism,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0021051,C0026882,ASSOCIATED_WITH,Immunologic Deficiency Syndromes,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0021053,C0032529,ASSOCIATED_WITH,Immune System Diseases,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0021400,C0017262,ASSOCIATED_WITH,Influenza,Gene Expression,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0021400,C0017393,ASSOCIATED_WITH,Influenza,Genetic Markers,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0021400,C0026882,ASSOCIATED_WITH,Influenza,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0021400,C0032529,ASSOCIATED_WITH,Influenza,Genetic Polymorphism,dsyn,genf,3,ASSOCIATED_WITH_DSYNaswtGENF
C0023281,C0376452,ASSOCIATED_WITH,Leishmaniasis,DNA Methylation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0023976,C0026882,ASSOCIATED_WITH,Long QT Syndrome,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0024117,C0032529,ASSOCIATED_WITH,Chronic Obstructive Airway Disease,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0025237,C0034865,ASSOCIATED_WITH,Melnick-Needles Syndrome,"Recombination, Genetic",dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0026691,C0678951,ASSOCIATED_WITH,Mucocutaneous Lymph Node Syndrome,gene polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0026691,C1956002,ASSOCIATED_WITH,Mucocutaneous Lymph Node Syndrome,INDEL Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0026847,C0026882,ASSOCIATED_WITH,Spinal Muscular Atrophy,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0026850,C1749524,ASSOCIATED_WITH,Muscular Dystrophy,mRNA processing,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0027121,C2315666,ASSOCIATED_WITH,Myositis,Mitochondrial mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0027765,C0026882,ASSOCIATED_WITH,nervous system disorder,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0027765,C1158762,ASSOCIATED_WITH,nervous system disorder,tRNA processing,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0027765,C1158769,ASSOCIATED_WITH,nervous system disorder,tRNA metabolic process,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0027983,C0598312,ASSOCIATED_WITH,Newcastle Disease,DNA Replication,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0030312,C0026882,ASSOCIATED_WITH,Pancytopenia,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0030567,C0026882,ASSOCIATED_WITH,Parkinson Disease,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0034069,C0032529,ASSOCIATED_WITH,Pulmonary Fibrosis,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0035220,C0032529,ASSOCIATED_WITH,"Respiratory Distress Syndrome, Newborn",Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0035222,C0032529,ASSOCIATED_WITH,"Respiratory Distress Syndrome, Adult",Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
