cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002055,C0032285,ASSOCIATED_WITH,Alkalies,Pneumonia,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0002055,C0343537,ASSOCIATED_WITH,Alkalies,Specific viral infections,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0002055,C3495919,ASSOCIATED_WITH,Alkalies,Enthesitis-Related Arthritis,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0008203,C0011880,ASSOCIATED_WITH,Chlorides,Diabetic Ketoacidosis,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0008203,C0206750,ASSOCIATED_WITH,Chlorides,Coronavirus Infections,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0013239,C0021359,ASSOCIATED_WITH,Dry Ice,Infertility,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0013832,C0035235,ASSOCIATED_WITH,Electrolytes,Respiratory Syncytial Virus Infections,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0020281,C0017574,ASSOCIATED_WITH,Hydrogen Peroxide,Gingivitis,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0020746,C0020498,ASSOCIATED_WITH,Ice,"Hyperostosis, Diffuse Idiopathic Skeletal",inch,dsyn,2,ASSOCIATED_WITH_INCHaswtDSYN
C0020746,C0042769,ASSOCIATED_WITH,Ice,Virus Diseases,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0021966,C1262760,ASSOCIATED_WITH,Iodides,"Hepatitis, Drug-Induced",inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0025552,C0011603,ASSOCIATED_WITH,Metals,Dermatitis,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0028167,C0004096,ASSOCIATED_WITH,Nitrogen Oxides,Asthma,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0028167,C0031350,ASSOCIATED_WITH,Nitrogen Oxides,Pharyngitis,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C0001752,ASSOCIATED_WITH,Water,African swine fever,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C0004623,ASSOCIATED_WITH,Water,Bacterial Infections,inch,dsyn,2,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C0009450,ASSOCIATED_WITH,Water,Communicable Diseases,inch,dsyn,5,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C0010418,ASSOCIATED_WITH,Water,Cryptosporidiosis,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C0017160,ASSOCIATED_WITH,Water,Gastroenteritis,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C0023240,ASSOCIATED_WITH,Water,Legionellosis,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C0023364,ASSOCIATED_WITH,Water,Leptospirosis,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C0043528,ASSOCIATED_WITH,Water,Zoonoses,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C0849784,ASSOCIATED_WITH,Water,bacterial diarrhea,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C1561643,ASSOCIATED_WITH,Water,Chronic Kidney Diseases,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0043047,C2676739,ASSOCIATED_WITH,Water,Chromosome 2q32-Q33 Deletion Syndrome,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0043491,C0158996,ASSOCIATED_WITH,Zinc Oxide,Anemia of prematurity,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0065088,C0011603,ASSOCIATED_WITH,Lithium Chloride,Dermatitis,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0065088,C0015403,ASSOCIATED_WITH,Lithium Chloride,Eye Infections,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0074719,C0042769,ASSOCIATED_WITH,sodium arsenite,Virus Diseases,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
C0351669,C1257753,ASSOCIATED_WITH,Zinc salts,Child Malnutrition,inch,dsyn,1,ASSOCIATED_WITH_INCHaswtDSYN
