cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C1257756,C1519619,ASSOCIATED_WITH,RNA Degradation,Translational Repression,moft,genf,1,ASSOCIATED_WITH_MOFTaswtGENF
C1257758,C0040649,ASSOCIATED_WITH,mRNA Decay,"Transcription, Genetic",moft,genf,1,ASSOCIATED_WITH_MOFTaswtGENF
C1257758,C1749524,ASSOCIATED_WITH,mRNA Decay,mRNA processing,moft,genf,1,ASSOCIATED_WITH_MOFTaswtGENF
C1257759,C1519613,ASSOCIATED_WITH,mRNA Degradation,Translation Initiation,moft,genf,1,ASSOCIATED_WITH_MOFTaswtGENF
C1328949,C0598312,ASSOCIATED_WITH,RNA replication,DNA Replication,moft,genf,1,ASSOCIATED_WITH_MOFTaswtGENF
C1328949,C1136031,ASSOCIATED_WITH,RNA replication,RNA Interference,moft,genf,1,ASSOCIATED_WITH_MOFTaswtGENF
C1328949,C1158723,ASSOCIATED_WITH,RNA replication,mRNA metabolic process,moft,genf,1,ASSOCIATED_WITH_MOFTaswtGENF
C1328949,C1158728,ASSOCIATED_WITH,RNA replication,RNA Processing,moft,genf,1,ASSOCIATED_WITH_MOFTaswtGENF
C1328949,C1511695,ASSOCIATED_WITH,RNA replication,DNA Sequence Rearrangement,moft,genf,3,ASSOCIATED_WITH_MOFTaswtGENF
C1328949,C1514849,ASSOCIATED_WITH,RNA replication,Replication-Associated Process,moft,genf,1,ASSOCIATED_WITH_MOFTaswtGENF
C1328949,C1519323,ASSOCIATED_WITH,RNA replication,Silent Mutation,moft,genf,1,ASSOCIATED_WITH_MOFTaswtGENF
