cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004793,C0334287,ASSOCIATED_WITH,Base Sequence,Fibrolamellar Hepatocellular Carcinoma,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C0004793,C0334463,ASSOCIATED_WITH,Base Sequence,Malignant Fibrous Histiocytoma,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C0162326,C0006142,ASSOCIATED_WITH,DNA Sequence,Malignant neoplasm of breast,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C0162326,C0014522,ASSOCIATED_WITH,DNA Sequence,Epidermodysplasia Verruciformis,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C0162326,C0023903,ASSOCIATED_WITH,DNA Sequence,Liver neoplasms,nusq,neop,3,ASSOCIATED_WITH_NUSQaswtNEOP
C0162326,C0027651,ASSOCIATED_WITH,DNA Sequence,Neoplasms,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C0162327,C0017636,ASSOCIATED_WITH,RNA Sequence,Glioblastoma,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C0752046,C0006826,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Malignant Neoplasms,nusq,neop,3,ASSOCIATED_WITH_NUSQaswtNEOP
C0752046,C0024305,ASSOCIATED_WITH,Single Nucleotide Polymorphism,"Lymphoma, Non-Hodgkin",nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C0752046,C0027651,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Neoplasms,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C0752046,C2931822,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Nasopharyngeal carcinoma,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C1511518,C0007621,ASSOCIATED_WITH,Copy Number Polymorphism,Neoplastic Cell Transformation,nusq,neop,2,ASSOCIATED_WITH_NUSQaswtNEOP
C1511518,C0027651,ASSOCIATED_WITH,Copy Number Polymorphism,Neoplasms,nusq,neop,2,ASSOCIATED_WITH_NUSQaswtNEOP
C1517336,C0007621,ASSOCIATED_WITH,G-Quadruplexes,Neoplastic Cell Transformation,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C3178796,C0006826,ASSOCIATED_WITH,Nucleotide Motifs,Malignant Neoplasms,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C3178810,C0007847,ASSOCIATED_WITH,Transcriptome,Malignant tumor of cervix,nusq,neop,2,ASSOCIATED_WITH_NUSQaswtNEOP
C3178810,C0023903,ASSOCIATED_WITH,Transcriptome,Liver neoplasms,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
C3178810,C0596263,ASSOCIATED_WITH,Transcriptome,Carcinogenesis,nusq,neop,1,ASSOCIATED_WITH_NUSQaswtNEOP
