cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0080089,C0242656,ASSOCIATED_WITH,Reading Frames (Nucleotide Sequence),Disease Progression,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C0162326,C0242649,ASSOCIATED_WITH,DNA Sequence,"Infectious Disease Transmission, Horizontal",nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C0162326,C0333386,ASSOCIATED_WITH,DNA Sequence,Chronic lymphocytic inflammation,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C0162326,C1520005,ASSOCIATED_WITH,DNA Sequence,Viral Pathogenesis,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C0162326,C3714514,ASSOCIATED_WITH,DNA Sequence,Infection,nusq,patf,2,ASSOCIATED_WITH_NUSQaswtPATF
C0162327,C0021368,ASSOCIATED_WITH,RNA Sequence,Inflammation,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0016059,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Fibrosis,nusq,patf,2,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0018188,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Granuloma,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0020517,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Hypersensitivity,nusq,patf,2,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0021655,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Insulin Resistance,nusq,patf,2,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0028778,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Obstruction,nusq,patf,4,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0030660,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Pathologic Processes,nusq,patf,2,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0151517,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Complete atrioventricular block,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0151763,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Liver damage,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0242656,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Disease Progression,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0243083,ASSOCIATED_WITH,Single Nucleotide Polymorphism,associated disease,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C0392707,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Atopy,nusq,patf,10,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C2717792,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Airway Remodeling,nusq,patf,3,ASSOCIATED_WITH_NUSQaswtPATF
C0752046,C3714514,ASSOCIATED_WITH,Single Nucleotide Polymorphism,Infection,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C3178810,C0020517,ASSOCIATED_WITH,Transcriptome,Hypersensitivity,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
C3178810,C0332448,ASSOCIATED_WITH,Transcriptome,Infiltration,nusq,patf,1,ASSOCIATED_WITH_NUSQaswtPATF
