cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0014272,C0064582,ASSOCIATED_WITH,Energy Metabolism,Lactic acid,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0020964,C0034085,ASSOCIATED_WITH,Immunity,Pulmonary Surfactants,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0035203,C0028928,ASSOCIATED_WITH,Respiration,Oleic Acid,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0010738,ASSOCIATED_WITH,Uptake,Cytochalasin D,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0041984,ASSOCIATED_WITH,Uptake,Uridine,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0078517,ASSOCIATED_WITH,Uptake,wortmannin,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0086140,ASSOCIATED_WITH,Uptake,Dextran,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0751982,C0206008,ASSOCIATED_WITH,Neutrophil Infiltration,2-Mercaptoethanesulfonic Acid,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0868946,C0006353,ASSOCIATED_WITH,digest,Buffers,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0870935,C0006353,ASSOCIATED_WITH,Napping,Buffers,phsf,bacs,2,ASSOCIATED_WITH_PHSFaswtBACS
C1328821,C0067762,ASSOCIATED_WITH,tissue tropism,N-Acetylneuraminic Acid,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C1514892,C0006353,ASSOCIATED_WITH,Resistance Process,Buffers,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C1514892,C0032615,ASSOCIATED_WITH,Resistance Process,Polyunsaturated Fatty Acids,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C3714584,C0017861,ASSOCIATED_WITH,"Transformation, function",Glycerin,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C4520800,C0010294,ASSOCIATED_WITH,Hydration,Creatinine,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
