cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005775,C0674396,ASSOCIATED_WITH,Blood Circulation,SB 225002,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0020964,C0281643,ASSOCIATED_WITH,Immunity,incomplete Freund's adjuvant,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0020964,C2926735,ASSOCIATED_WITH,Immunity,Duration,phsf,orch,2,ASSOCIATED_WITH_PHSFaswtORCH
C0035203,C3267761,ASSOCIATED_WITH,Respiration,B-Natal,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0221102,C2926735,ASSOCIATED_WITH,Excretory function,Duration,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0242732,C0032594,ASSOCIATED_WITH,Tropism,Polysaccharides,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0242732,C1550067,ASSOCIATED_WITH,Tropism,10% Formalin,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0243144,C0030123,ASSOCIATED_WITH,Uptake,4-Aminohippuric Acid,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0243144,C0032486,ASSOCIATED_WITH,Uptake,Polyethyleneimine,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0243144,C0034289,ASSOCIATED_WITH,Uptake,Pyrimidines,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0243144,C0039286,ASSOCIATED_WITH,Uptake,Tamoxifen,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0243144,C0041175,ASSOCIATED_WITH,Uptake,Tromethamine,phsf,orch,2,ASSOCIATED_WITH_PHSFaswtORCH
C0243144,C0606070,ASSOCIATED_WITH,Uptake,tocophersolan,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0243144,C4050026,ASSOCIATED_WITH,Uptake,Matrix,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0868946,C0037506,ASSOCIATED_WITH,digest,Sodium Dodecyl Sulfate,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0868946,C0040982,ASSOCIATED_WITH,digest,Trifluoroacetic Acid,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0868946,C0050456,ASSOCIATED_WITH,digest,acetonitrile,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C0868946,C0072149,ASSOCIATED_WITH,digest,Promega,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C1326960,C0023779,ASSOCIATED_WITH,Cholesterol Homeostasis,Lipids,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C1514503,C0721062,ASSOCIATED_WITH,Prostaglandin Production,InFed,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C1514892,C2728259,ASSOCIATED_WITH,Resistance Process,Program,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C3179302,C0063273,ASSOCIATED_WITH,Antioxidant Effect,icariin,phsf,orch,2,ASSOCIATED_WITH_PHSFaswtORCH
C3714584,C2728259,ASSOCIATED_WITH,"Transformation, function",Program,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C4520800,C0001962,ASSOCIATED_WITH,Hydration,Ethanol,phsf,orch,2,ASSOCIATED_WITH_PHSFaswtORCH
C4520800,C0031701,ASSOCIATED_WITH,Hydration,Phosphoric Acid Esters,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
C4520800,C0043367,ASSOCIATED_WITH,Hydration,Xylene,phsf,orch,1,ASSOCIATED_WITH_PHSFaswtORCH
