cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001239,C1511695,AUGMENTS,Actin-Binding Protein,DNA Sequence Rearrangement,aapp,genf,2,AUGMENTS_AAPPaugmGENF
C0001271,C0040649,AUGMENTS,Actins,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0001271,C0282629,AUGMENTS,Actins,Virus Assembly,aapp,genf,2,AUGMENTS_AAPPaugmGENF
C0001271,C1511695,AUGMENTS,Actins,DNA Sequence Rearrangement,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0001457,C0162782,AUGMENTS,ADENOSINE DEAMINASE,RNA Editing,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0001473,C1149627,AUGMENTS,Adenosine Triphosphatases,helicase activity,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0001473,C2247938,AUGMENTS,Adenosine Triphosphatases,RNA chaperone,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0002199,C0040649,AUGMENTS,Interferon-alpha,"Transcription, Genetic",aapp,genf,2,AUGMENTS_AAPPaugmGENF
C0003241,C0026882,AUGMENTS,Antibodies,Mutation,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0003250,C0162493,AUGMENTS,Monoclonal Antibodies,Transcriptional Activation,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0003765,C0017262,AUGMENTS,Arginine,Gene Expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0008546,C0040649,AUGMENTS,Chromatin,"Transcription, Genetic",aapp,genf,2,AUGMENTS_AAPPaugmGENF
C0010287,C0040649,AUGMENTS,Creatine Kinase,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0010590,C0017262,AUGMENTS,Cycloserine,Gene Expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0010590,C0920532,AUGMENTS,Cycloserine,gene induction,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0010590,C1515670,AUGMENTS,Cycloserine,mRNA Expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0010934,C0040649,AUGMENTS,Dactinomycin,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0013729,C0040649,AUGMENTS,Eukaryotic Initiation Factor-2,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0013729,C1519613,AUGMENTS,Eukaryotic Initiation Factor-2,Translation Initiation,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0013729,C2247634,AUGMENTS,Eukaryotic Initiation Factor-2,stress granule assembly,aapp,genf,3,AUGMENTS_AAPPaugmGENF
C0014241,C0017262,AUGMENTS,Endoribonucleases,Gene Expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0016011,C0162493,AUGMENTS,Platelet Glycoprotein GPIIb-IIIa Complex,Transcriptional Activation,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0017343,C0040649,AUGMENTS,"Genes, env","Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0017817,C0162493,AUGMENTS,Glutathione,Transcriptional Activation,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0018850,C0040649,AUGMENTS,Heat shock proteins,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0019067,C0040649,AUGMENTS,Hemopexin,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0019629,C0162493,AUGMENTS,Histocompatibility Antigens Class I,Transcriptional Activation,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0019652,C0040649,AUGMENTS,Histones,"Transcription, Genetic",aapp,genf,2,AUGMENTS_AAPPaugmGENF
C0020197,C0017262,AUGMENTS,Hyaluronidase,Gene Expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021641,C0040649,AUGMENTS,Insulin,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021699,C1511695,AUGMENTS,Integral Membrane Proteins,DNA Sequence Rearrangement,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021747,C0017262,AUGMENTS,Interferons,Gene Expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021747,C0040649,AUGMENTS,Interferons,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021747,C0162493,AUGMENTS,Interferons,Transcriptional Activation,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021747,C1171362,AUGMENTS,Interferons,protein expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021755,C0040649,AUGMENTS,Interleukin-1,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021755,C1515670,AUGMENTS,Interleukin-1,mRNA Expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021755,C1622984,AUGMENTS,Interleukin-1,mRNA synthesis,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021755,C3895354,AUGMENTS,Interleukin-1,P granule assembly,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021760,C0017262,AUGMENTS,Interleukin-6,Gene Expression,aapp,genf,2,AUGMENTS_AAPPaugmGENF
C0021760,C0040649,AUGMENTS,Interleukin-6,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021760,C1171362,AUGMENTS,Interleukin-6,protein expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0021760,C1622984,AUGMENTS,Interleukin-6,mRNA synthesis,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0024075,C0040649,AUGMENTS,Luciferases,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0024337,C1152412,AUGMENTS,Lysine,RNA-directed RNA polymerase activity,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0024337,C1156187,AUGMENTS,Lysine,chromatin organization,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0025252,C0282629,AUGMENTS,Membrane Proteins,Virus Assembly,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0028589,C0040649,AUGMENTS,Nuclear Proteins,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0028623,C0034865,AUGMENTS,Nucleosomes,"Recombination, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0028623,C0040649,AUGMENTS,Nucleosomes,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0028623,C0598312,AUGMENTS,Nucleosomes,DNA Replication,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0030616,C0040649,AUGMENTS,Parvalbumins,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0030940,C0599177,AUGMENTS,Peptide Hydrolases,protein activation,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0030946,C1158817,AUGMENTS,Endopeptidases,viral transcription,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0030946,C1511695,AUGMENTS,Endopeptidases,DNA Sequence Rearrangement,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0030946,C2247634,AUGMENTS,Endopeptidases,stress granule assembly,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0031640,C1158016,AUGMENTS,phosphoric diester hydrolase,rRNA catabolic process,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0032143,C1171362,AUGMENTS,alteplase,protein expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0032583,C0282572,AUGMENTS,Polyproteins,"Frameshifting, Ribosomal",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0034767,C0034865,AUGMENTS,Rec A Recombinases,"Recombination, Genetic",aapp,genf,3,AUGMENTS_AAPPaugmGENF
C0034767,C0599773,AUGMENTS,Rec A Recombinases,Homologous Recombination,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0034800,C1136031,AUGMENTS,"Receptors, Cell Surface",RNA Interference,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0034800,C1511695,AUGMENTS,"Receptors, Cell Surface",DNA Sequence Rearrangement,aapp,genf,2,AUGMENTS_AAPPaugmGENF
C0035544,C0282629,AUGMENTS,Ribonucleoproteins,Virus Assembly,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0035552,C1515670,AUGMENTS,Ribosomal Proteins,mRNA Expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0035552,C1519616,AUGMENTS,Ribosomal Proteins,Translational Activation,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0035679,C0023099,AUGMENTS,RNA Polymerase II,Late Gene Transcription,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0035679,C0040649,AUGMENTS,RNA Polymerase II,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0035679,C1136031,AUGMENTS,RNA Polymerase II,RNA Interference,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0035679,C1519591,AUGMENTS,RNA Polymerase II,Transcription Elongation,aapp,genf,2,AUGMENTS_AAPPaugmGENF
C0035685,C1149627,AUGMENTS,RNA-Directed RNA Polymerase,helicase activity,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0037067,C0040649,AUGMENTS,Sigma Factor,"Transcription, Genetic",aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0039341,C0040649,AUGMENTS,tat Protein,"Transcription, Genetic",aapp,genf,2,AUGMENTS_AAPPaugmGENF
C0040627,C1148815,AUGMENTS,Trans-Activators,ribonuclease III activity,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0040648,C0017262,AUGMENTS,TRANSCRIPTION FACTOR,Gene Expression,aapp,genf,1,AUGMENTS_AAPPaugmGENF
C0040648,C0040624,AUGMENTS,TRANSCRIPTION FACTOR,"Trans-Activation, Genetic",aapp,genf,2,AUGMENTS_AAPPaugmGENF
