cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0021747,C0233514,AUGMENTS,Interferons,Abnormal behavior,aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C0140649,C0038441,AUGMENTS,RNA glycosylase,"Stress Disorders, Traumatic",aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C0243041,C0038441,AUGMENTS,Molecular Chaperones,"Stress Disorders, Traumatic",aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C0599220,C0086168,AUGMENTS,Protein Subunits,Dissociation,aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C1120843,C0040953,AUGMENTS,mitogen-activated protein kinase p38,Trichotillomania,aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C1384672,C0858952,AUGMENTS,HPT gene,silence,aapp,mobd,2,AUGMENTS_AAPPaugmMOBD
C1417530,C0233794,AUGMENTS,MYD88 gene,Memory impairment,aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C1419221,C0086168,AUGMENTS,RABAC1 gene,Dissociation,aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C1426334,C0038441,AUGMENTS,EIF2AK4 gene,"Stress Disorders, Traumatic",aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C1448177,C1269683,AUGMENTS,"TNF protein, human",Major Depressive Disorder,aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C1454489,C0497327,AUGMENTS,"MAPT protein, human",Dementia,aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C1522002,C0086168,AUGMENTS,RNA Recognition Motif,Dissociation,aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C1538580,C0038441,AUGMENTS,PARP2 gene,"Stress Disorders, Traumatic",aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C1564779,C0038441,AUGMENTS,"Heat-Shock Proteins, Small","Stress Disorders, Traumatic",aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
C1565860,C0858952,AUGMENTS,"PTGS2 protein, human",silence,aapp,mobd,1,AUGMENTS_AAPPaugmMOBD
