cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002520,C0150312,AUGMENTS,Amino Acids,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0003241,C0150312,AUGMENTS,Antibodies,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0003250,C0150312,AUGMENTS,Monoclonal Antibodies,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0017968,C0150312,AUGMENTS,Glycoproteins,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0018595,C0150312,AUGMENTS,Haptoglobins,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0019630,C0150312,AUGMENTS,Histocompatibility Antigens Class II,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0020846,C0150312,AUGMENTS,Immunoglobulin E,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0021747,C0150312,AUGMENTS,Interferons,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0021753,C0150312,AUGMENTS,Interleukin-1 beta,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0021760,C0150312,AUGMENTS,Interleukin-6,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0028608,C0150312,AUGMENTS,Nucleolar Proteins,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0030940,C0150312,AUGMENTS,Peptide Hydrolases,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0030946,C0150312,AUGMENTS,Endopeptidases,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0034828,C0150312,AUGMENTS,Neurotransmitter Receptor,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0034861,C0150312,AUGMENTS,Recombinant Proteins,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0035552,C0150312,AUGMENTS,Ribosomal Proteins,Present,aapp,qnco,2,AUGMENTS_AAPPaugmQNCO
C0039213,C0150312,AUGMENTS,T4 DNA Ligase,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0040648,C0150312,AUGMENTS,TRANSCRIPTION FACTOR,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0052174,C0150312,AUGMENTS,apoflavodoxin,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0055817,C0150312,AUGMENTS,citrate carrier,Present,aapp,qnco,2,AUGMENTS_AAPPaugmQNCO
C0056889,C0150312,AUGMENTS,Cystic Fibrosis Transmembrane Conductance Regulator,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0062534,C0150312,AUGMENTS,Hepatocyte Growth Factor,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0079189,C0150312,AUGMENTS,cytokine,Present,aapp,qnco,2,AUGMENTS_AAPPaugmQNCO
C0085295,C0150312,AUGMENTS,Interleukin-10,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0085401,C0150312,AUGMENTS,tau Proteins,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0120285,C0150312,AUGMENTS,Green Fluorescent Proteins,Present,aapp,qnco,2,AUGMENTS_AAPPaugmQNCO
C0165073,C0150312,AUGMENTS,Synucleins,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0166418,C0150312,AUGMENTS,Peroxisome Proliferator-Activated Receptors,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0208355,C0150312,AUGMENTS,multicatalytic endopeptidase complex,Present,aapp,qnco,2,AUGMENTS_AAPPaugmQNCO
C0254610,C0150312,AUGMENTS,Interleukin-15,Present,aapp,qnco,2,AUGMENTS_AAPPaugmQNCO
C0291573,C0150312,AUGMENTS,caspase-3,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0376436,C0150312,AUGMENTS,Peptide Library,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0378910,C0150312,AUGMENTS,Lymphocyte antigen CD66A,Present,aapp,qnco,2,AUGMENTS_AAPPaugmQNCO
C0387583,C0150312,AUGMENTS,cyclooxygenase 2,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0443640,C0150312,AUGMENTS,Specific antibody,Present,aapp,qnco,3,AUGMENTS_AAPPaugmQNCO
C0524816,C0150312,AUGMENTS,Nucleocapsid Proteins,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
C0582263,C0150312,AUGMENTS,Structural protein,Present,aapp,qnco,1,AUGMENTS_AAPPaugmQNCO
