cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004358,C4524574,AUGMENTS,Autoantibodies,Ocular Tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0007578,C0014257,AUGMENTS,Cell Adhesion Molecules,Endothelium,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0010590,C0026724,AUGMENTS,Cycloserine,Mucous Membrane,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0010590,C1955394,AUGMENTS,Cycloserine,Tissue specific,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0015980,C1516828,AUGMENTS,Interferon-beta,Mouse Embryonic Fibroblast,aapp,tisu,2,AUGMENTS_AAPPaugmTISU
C0016194,C0026724,AUGMENTS,Flagellin,Mucous Membrane,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0018847,C0040300,AUGMENTS,Heat Shock Protein 27,Body tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0020838,C0596638,AUGMENTS,Secretory Immunoglobulin A,Gut associated lymphoid tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021699,C0014257,AUGMENTS,Integral Membrane Proteins,Endothelium,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021699,C0025255,AUGMENTS,Integral Membrane Proteins,Tissue membrane,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021701,C0014257,AUGMENTS,Integrins,Endothelium,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021743,C0040300,AUGMENTS,Interferon Type I,Body tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021753,C1518039,AUGMENTS,Interleukin-1 beta,Mouse Lung,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021755,C0026724,AUGMENTS,Interleukin-1,Mucous Membrane,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021756,C0040300,AUGMENTS,Interleukin-2,Body tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021758,C0282491,AUGMENTS,Interleukin-4,Structure of germinal center of lymph node,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021758,C0682708,AUGMENTS,Interleukin-4,White matter,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021758,C1267092,AUGMENTS,Interleukin-4,Smooth muscle (tissue),aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021758,C1519474,AUGMENTS,Interleukin-4,Mouse Spleen,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021760,C0026845,AUGMENTS,Interleukin-6,Muscle,aapp,tisu,2,AUGMENTS_AAPPaugmTISU
C0021760,C0282491,AUGMENTS,Interleukin-6,Structure of germinal center of lymph node,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0021760,C1518039,AUGMENTS,Interleukin-6,Mouse Lung,aapp,tisu,2,AUGMENTS_AAPPaugmTISU
C0021760,C1521713,AUGMENTS,Interleukin-6,CNS - Brain (MMHCC),aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0023816,C0040300,AUGMENTS,LIPOPROTEIN LIPASE,Body tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0024746,C0440744,AUGMENTS,Mannosidase,Human tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0025252,C1511200,AUGMENTS,Membrane Proteins,Bladder Tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0025252,C1521747,AUGMENTS,Membrane Proteins,Mammary Gland Parenchyma,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0034826,C1267092,AUGMENTS,Muscarinic Acetylcholine Receptor,Smooth muscle (tissue),aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0034861,C0018180,AUGMENTS,Recombinant Proteins,Granulation Tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0034861,C0040300,AUGMENTS,Recombinant Proteins,Body tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0040691,C0014257,AUGMENTS,Transforming Growth Factors,Endothelium,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0041368,C0014257,AUGMENTS,Tumor Necrosis Factors,Endothelium,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0041368,C1518039,AUGMENTS,Tumor Necrosis Factors,Mouse Lung,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0051976,C0026724,AUGMENTS,anti-IgA,Mucous Membrane,aapp,tisu,2,AUGMENTS_AAPPaugmTISU
C0051979,C1521713,AUGMENTS,anti-IgG,CNS - Brain (MMHCC),aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0054871,C1706784,AUGMENTS,Cathepsin L,Alveolar Septum,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0057256,C0014609,AUGMENTS,Defensins,Epithelium,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0059249,C1514845,AUGMENTS,annexin A5,Renal Tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0061877,C1514845,AUGMENTS,granzyme A,Renal Tissue,aapp,tisu,2,AUGMENTS_AAPPaugmTISU
C0069304,C0040300,AUGMENTS,"POU5F1 protein, human",Body tissue,aapp,tisu,2,AUGMENTS_AAPPaugmTISU
C0072978,C0026724,AUGMENTS,RANTES,Mucous Membrane,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0078056,C0014257,AUGMENTS,Vascular Cell Adhesion Molecule-1,Endothelium,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0079189,C0014257,AUGMENTS,cytokine,Endothelium,aapp,tisu,7,AUGMENTS_AAPPaugmTISU
C0079189,C0015350,AUGMENTS,cytokine,Extracellular Matrix,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0079189,C0026724,AUGMENTS,cytokine,Mucous Membrane,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0079189,C0027740,AUGMENTS,cytokine,Nerve,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
C0079189,C0040300,AUGMENTS,cytokine,Body tissue,aapp,tisu,1,AUGMENTS_AAPPaugmTISU
