cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000545,C0024109,AUGMENTS,Eicosapentaenoic Acid,Lung,bacs,bpoc,2,AUGMENTS_BACSaugmBPOC
C0001041,C0005847,AUGMENTS,Acetylcholine,Blood Vessel,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0001407,C0022646,AUGMENTS,Adenine,Kidney,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0001443,C0458827,AUGMENTS,Adenosine,Airway structure,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0006675,C0018787,AUGMENTS,Calcium,Heart,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0008240,C1186763,AUGMENTS,Chlorogenic acid,Stem of Organ,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0008377,C0006104,AUGMENTS,Cholesterol,Brain,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0015684,C0022131,AUGMENTS,Fatty Acids,Islets of Langerhans,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0015691,C0009368,AUGMENTS,"Fatty Acids, Volatile",Colon structure (body structure),bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0015691,C0020885,AUGMENTS,"Fatty Acids, Volatile",ileum,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0016943,C0023884,AUGMENTS,Galactosamine,Liver,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0018284,C0037993,AUGMENTS,Growth Factor,Spleen,bacs,bpoc,2,AUGMENTS_BACSaugmBPOC
C0019134,C1440080,AUGMENTS,heparin,Alveolar,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0031860,C0729596,AUGMENTS,Phytol,Inguinal lymph node group,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0034085,C1440080,AUGMENTS,Pulmonary Surfactants,Alveolar,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0035693,C0024109,AUGMENTS,"RNA, Double-Stranded",Lung,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0035696,C0015813,AUGMENTS,"RNA, Messenger",Head of femur,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0035696,C0023884,AUGMENTS,"RNA, Messenger",Liver,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0035696,C1278908,AUGMENTS,"RNA, Messenger",Entire lung,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0035701,C0018563,AUGMENTS,Ribosomal RNA,Hand,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0037473,C0022646,AUGMENTS,Sodium,Kidney,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0040059,C0024109,AUGMENTS,Thromboxane B2,Lung,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0041365,C0819757,AUGMENTS,Tumor Markers,Structure of parenchyma of lung,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0041525,C0006104,AUGMENTS,U1 small nuclear RNA,Brain,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0041980,C0022646,AUGMENTS,Uric Acid,Kidney,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0162772,C0023884,AUGMENTS,Reactive Oxygen Species,Liver,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0369343,C0006104,AUGMENTS,Herpes simplex virus DNA,Brain,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C0600472,C0178784,AUGMENTS,Long Interspersed Nucleotide Element-1,Organ,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C1101610,C0023884,AUGMENTS,MicroRNAs,Liver,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
C1337054,C0334187,AUGMENTS,Primary MicroRNA,Secretory endometrium,bacs,bpoc,1,AUGMENTS_BACSaugmBPOC
