cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001443,C0439663,AUGMENTS,Adenosine,Infected,bacs,ftcn,1,AUGMENTS_BACSaugmFTCN
C0012854,C0439662,AUGMENTS,DNA,Immune,bacs,ftcn,3,AUGMENTS_BACSaugmFTCN
C0013030,C0439662,AUGMENTS,Dopamine,Immune,bacs,ftcn,1,AUGMENTS_BACSaugmFTCN
C0017881,C0439662,AUGMENTS,Glycerophosphates,Immune,bacs,ftcn,1,AUGMENTS_BACSaugmFTCN
C0019143,C0439662,AUGMENTS,Heparitin Sulfate,Immune,bacs,ftcn,1,AUGMENTS_BACSaugmFTCN
C0032136,C0439662,AUGMENTS,Plasmids,Immune,bacs,ftcn,2,AUGMENTS_BACSaugmFTCN
C0035693,C0439662,AUGMENTS,"RNA, Double-Stranded",Immune,bacs,ftcn,2,AUGMENTS_BACSaugmFTCN
C0041004,C0439662,AUGMENTS,Triglycerides,Immune,bacs,ftcn,1,AUGMENTS_BACSaugmFTCN
C0056912,C0439662,AUGMENTS,cytidylyl-3'-5'-guanosine,Immune,bacs,ftcn,1,AUGMENTS_BACSaugmFTCN
C0162772,C0439662,AUGMENTS,Reactive Oxygen Species,Immune,bacs,ftcn,1,AUGMENTS_BACSaugmFTCN
C0242850,C0439662,AUGMENTS,Retroelements,Immune,bacs,ftcn,2,AUGMENTS_BACSaugmFTCN
C1101610,C0334094,AUGMENTS,MicroRNAs,Proliferation (morphologic abnormality),bacs,ftcn,1,AUGMENTS_BACSaugmFTCN
C1101610,C0439662,AUGMENTS,MicroRNAs,Immune,bacs,ftcn,3,AUGMENTS_BACSaugmFTCN
C1136170,C0439662,AUGMENTS,Virulence Factors,Immune,bacs,ftcn,1,AUGMENTS_BACSaugmFTCN
