cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007012,C0231303,AUGMENTS,Carbon Dioxide,Distress,bacs,menp,2,AUGMENTS_BACSaugmMENP
C0012854,C0009649,AUGMENTS,DNA,"Conditioning, Classical",bacs,menp,1,AUGMENTS_BACSaugmMENP
C0012854,C0546816,AUGMENTS,DNA,Persistence,bacs,menp,1,AUGMENTS_BACSaugmMENP
C0030234,C0035397,AUGMENTS,Palmitic Acid,Rewards,bacs,menp,1,AUGMENTS_BACSaugmMENP
C0032136,C0679058,AUGMENTS,Plasmids,encoding mental process,bacs,menp,2,AUGMENTS_BACSaugmMENP
C0035696,C0026605,AUGMENTS,"RNA, Messenger",Motivation,bacs,menp,1,AUGMENTS_BACSaugmMENP
C0037473,C0035397,AUGMENTS,Sodium,Rewards,bacs,menp,1,AUGMENTS_BACSaugmMENP
C0041917,C0683283,AUGMENTS,Uracil,disgust,bacs,menp,1,AUGMENTS_BACSaugmMENP
C0086860,C0679058,AUGMENTS,promoter,encoding mental process,bacs,menp,1,AUGMENTS_BACSaugmMENP
C0242958,C0004448,AUGMENTS,DNA Adducts,Awareness,bacs,menp,1,AUGMENTS_BACSaugmMENP
C1099354,C0546816,AUGMENTS,"RNA, Small Interfering",Persistence,bacs,menp,1,AUGMENTS_BACSaugmMENP
C1101610,C0546816,AUGMENTS,MicroRNAs,Persistence,bacs,menp,1,AUGMENTS_BACSaugmMENP
