cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017346,C0042774,AUGMENTS,GAG Gene,Virus Replication,gngm,orgf,2,AUGMENTS_GNGMaugmORGF
C0017350,C0301872,AUGMENTS,"Genes, Immunoglobulin",Immune response,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C0017374,C0301872,AUGMENTS,Synthetic Genes,Immune response,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C0017376,C0042774,AUGMENTS,"Genes, Viral",Virus Replication,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C0042720,C0000934,AUGMENTS,Viral Genome,Acclimatization,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C0042720,C0018270,AUGMENTS,Viral Genome,Growth,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C0042720,C0042774,AUGMENTS,Viral Genome,Virus Replication,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C0042720,C1819432,AUGMENTS,Viral Genome,interferon-beta production,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C0042720,C3824609,AUGMENTS,Viral Genome,cellular response to virus,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C0079427,C0018270,AUGMENTS,Tumor Suppressor Genes,Growth,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C0079941,C0699900,AUGMENTS,Open Reading Frames,Catabolism,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C0282641,C0301872,AUGMENTS,Transgenes,Immune response,gngm,orgf,2,AUGMENTS_GNGMaugmORGF
C0670710,C0042774,AUGMENTS,"ORF59 protein, Human herpesvirus 8",Virus Replication,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1333196,C0301872,AUGMENTS,Cytokine Gene,Immune response,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1334043,C0000934,AUGMENTS,Homologous Gene,Acclimatization,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1334043,C1155328,AUGMENTS,Homologous Gene,Antiviral Response,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1334981,C0301872,AUGMENTS,Non-Human Gene,Immune response,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1412846,C1749719,AUGMENTS,BTN3A2 gene,Adaptive Immune Response,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1419744,C0018270,AUGMENTS,RPS6KA3 gene,Growth,gngm,orgf,2,AUGMENTS_GNGMaugmORGF
C1420334,C0018270,AUGMENTS,SP4 gene,Growth,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1421245,C0018270,AUGMENTS,TWSG1 gene,Growth,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1424617,C0043240,AUGMENTS,PSMD14 gene,Wound Healing,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1428772,C1819451,AUGMENTS,KDM6B gene,interleukin-23 production,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1825028,C0699900,AUGMENTS,EDEM2 gene,Catabolism,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C1825029,C0699900,AUGMENTS,EDEM3 gene,Catabolism,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C2239425,C0042774,AUGMENTS,RETREG1 gene,Virus Replication,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C2239799,C0042774,AUGMENTS,PATL1 gene,Virus Replication,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
C3890660,C0042774,AUGMENTS,NRAV gene,Virus Replication,gngm,orgf,1,AUGMENTS_GNGMaugmORGF
