cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0042720,C0020517,AUGMENTS,Viral Genome,Hypersensitivity,gngm,patf,1,AUGMENTS_GNGMaugmPATF
C0079941,C0020517,AUGMENTS,Open Reading Frames,Hypersensitivity,gngm,patf,1,AUGMENTS_GNGMaugmPATF
C0079941,C0021368,AUGMENTS,Open Reading Frames,Inflammation,gngm,patf,1,AUGMENTS_GNGMaugmPATF
C0600449,C0028778,AUGMENTS,"Genes, Essential",Obstruction,gngm,patf,1,AUGMENTS_GNGMaugmPATF
C0812239,C0015376,AUGMENTS,VAV2 gene,Extravasation,gngm,patf,1,AUGMENTS_GNGMaugmPATF
C1334043,C0020517,AUGMENTS,Homologous Gene,Hypersensitivity,gngm,patf,1,AUGMENTS_GNGMaugmPATF
C1419196,C1156244,AUGMENTS,RAB27B gene,invasive growth,gngm,patf,1,AUGMENTS_GNGMaugmPATF
C1424602,C0024348,AUGMENTS,BCLAF1 gene,Lysis,gngm,patf,1,AUGMENTS_GNGMaugmPATF
C1427306,C0036974,AUGMENTS,BTLA gene,Shock,gngm,patf,1,AUGMENTS_GNGMaugmPATF
C1825278,C0020517,AUGMENTS,FANCI GENE,Hypersensitivity,gngm,patf,1,AUGMENTS_GNGMaugmPATF
