cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0025611,C0162638,AUGMENTS,Methamphetamine,Apoptosis,hops,celf,1,AUGMENTS_HOPSaugmCELF
C0028017,C0230871,AUGMENTS,Niclosamide,Mitochondrial Fission,hops,celf,2,AUGMENTS_HOPSaugmCELF
C0028017,C0282636,AUGMENTS,Niclosamide,Cell Respiration,hops,celf,2,AUGMENTS_HOPSaugmCELF
C0035871,C1327415,AUGMENTS,Rotenone,interleukin-1 secretion,hops,celf,1,AUGMENTS_HOPSaugmCELF
C0037366,C0041904,AUGMENTS,Smoke,Up-Regulation (Physiology),hops,celf,1,AUGMENTS_HOPSaugmCELF
C0039654,C0007620,AUGMENTS,Tetradecanoylphorbol Acetate,Cell Survival,hops,celf,1,AUGMENTS_HOPSaugmCELF
C0039654,C0041904,AUGMENTS,Tetradecanoylphorbol Acetate,Up-Regulation (Physiology),hops,celf,1,AUGMENTS_HOPSaugmCELF
C0039654,C0086982,AUGMENTS,Tetradecanoylphorbol Acetate,Signal Transduction Pathways,hops,celf,1,AUGMENTS_HOPSaugmCELF
C0040329,C0003261,AUGMENTS,Tobacco,Antibody Formation,hops,celf,1,AUGMENTS_HOPSaugmCELF
C0069299,C0004391,AUGMENTS,ochratoxin A,Autophagy,hops,celf,1,AUGMENTS_HOPSaugmCELF
C0069299,C0013081,AUGMENTS,ochratoxin A,Down-Regulation,hops,celf,1,AUGMENTS_HOPSaugmCELF
C0074447,C0162638,AUGMENTS,Shiga Toxin,Apoptosis,hops,celf,1,AUGMENTS_HOPSaugmCELF
C0148323,C1622858,AUGMENTS,Shiga Toxins,apoptosis signaling,hops,celf,1,AUGMENTS_HOPSaugmCELF
C0148323,C2613145,AUGMENTS,Shiga Toxins,response to endoplasmic reticulum stress,hops,celf,1,AUGMENTS_HOPSaugmCELF
C0950580,C0596290,AUGMENTS,sentinel,Cell Proliferation,hops,celf,1,AUGMENTS_HOPSaugmCELF
