cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0020964,AUGMENTS,Immunologic Adjuvants,Immunity,imft,phsf,7,AUGMENTS_IMFTaugmPHSF
C0001551,C0243144,AUGMENTS,Immunologic Adjuvants,Uptake,imft,phsf,3,AUGMENTS_IMFTaugmPHSF
C0003316,C0020964,AUGMENTS,Epitopes,Immunity,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C0016712,C0020964,AUGMENTS,Freund's Adjuvant,Immunity,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C0016712,C0243144,AUGMENTS,Freund's Adjuvant,Uptake,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C0021403,C0020964,AUGMENTS,Influenza virus vaccine,Immunity,imft,phsf,2,AUGMENTS_IMFTaugmPHSF
C0041361,C0020964,AUGMENTS,Tumor Antigens,Immunity,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C0042210,C0020964,AUGMENTS,Vaccines,Immunity,imft,phsf,25,AUGMENTS_IMFTaugmPHSF
C0042210,C0243144,AUGMENTS,Vaccines,Uptake,imft,phsf,7,AUGMENTS_IMFTaugmPHSF
C0042210,C2267003,AUGMENTS,Vaccines,Increased Immunologic Activity [PE],imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C0042212,C0020964,AUGMENTS,"Vaccines, Inactivated",Immunity,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C0376613,C0020964,AUGMENTS,"Vaccines, DNA",Immunity,imft,phsf,4,AUGMENTS_IMFTaugmPHSF
C0376613,C0243144,AUGMENTS,"Vaccines, DNA",Uptake,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C0887892,C0020964,AUGMENTS,"Vaccines, Subunit",Immunity,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C1519887,C0020964,AUGMENTS,Vaccine Antigen,Immunity,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C1519887,C0243144,AUGMENTS,Vaccine Antigen,Uptake,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C2825347,C0020964,AUGMENTS,"Immunoglobulin A, Human",Immunity,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C3178367,C0020964,AUGMENTS,MVA vaccine,Immunity,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
C3530029,C0020964,AUGMENTS,advax,Immunity,imft,phsf,1,AUGMENTS_IMFTaugmPHSF
