cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0035736,C0010834,AUGMENTS,"RNA, Viral",Cytoplasm,nnon,celc,1,AUGMENTS_NNONaugmCELC
C0035736,C0596901,AUGMENTS,"RNA, Viral",Membrane,nnon,celc,5,AUGMENTS_NNONaugmCELC
C0035736,C1179933,AUGMENTS,"RNA, Viral",Free ribosome,nnon,celc,1,AUGMENTS_NNONaugmCELC
C0206415,C1325796,AUGMENTS,Oligonucleotide Primers,AP-1 adaptor complex location,nnon,celc,1,AUGMENTS_NNONaugmCELC
C0206415,C3894683,AUGMENTS,Oligonucleotide Primers,Extracellular Vesicles,nnon,celc,1,AUGMENTS_NNONaugmCELC
C0599013,C1325796,AUGMENTS,aptamer,AP-1 adaptor complex location,nnon,celc,1,AUGMENTS_NNONaugmCELC
C0807779,C0026046,AUGMENTS,Rotavirus RNA,Microtubules,nnon,celc,1,AUGMENTS_NNONaugmCELC
C1628999,C0596901,AUGMENTS,SARS coronavirus RNA,Membrane,nnon,celc,1,AUGMENTS_NNONaugmCELC
C2982391,C1276877,AUGMENTS,Long Intergenic Non-Protein Coding RNA,Specialized cell structure,nnon,celc,2,AUGMENTS_NNONaugmCELC
C3272453,C0230715,AUGMENTS,Genomic DNA,A band,nnon,celc,1,AUGMENTS_NNONaugmCELC
