cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012476,C0004391,AUGMENTS,Dinucleoside Phosphates,Autophagy,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0012476,C0037083,AUGMENTS,Dinucleoside Phosphates,Signal Transduction,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0012924,C0004391,AUGMENTS,"DNA, Bacterial",Autophagy,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0023978,C0007587,AUGMENTS,Long Terminal Repeat,Cell Death,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0023978,C0162638,AUGMENTS,Long Terminal Repeat,Apoptosis,nnon,celf,2,AUGMENTS_NNONaugmCELF
C0028948,C1155003,AUGMENTS,Oligodeoxyribonucleotides,B-Cell Activation,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0028948,C3156718,AUGMENTS,Oligodeoxyribonucleotides,type I interferon secretion,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0035546,C1155874,AUGMENTS,Ribonucleosides,Cell Cycle Checkpoints,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0035736,C0004391,AUGMENTS,"RNA, Viral",Autophagy,nnon,celf,2,AUGMENTS_NNONaugmCELF
C0035736,C0007587,AUGMENTS,"RNA, Viral",Cell Death,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0035736,C0007620,AUGMENTS,"RNA, Viral",Cell Survival,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0035736,C0037083,AUGMENTS,"RNA, Viral",Signal Transduction,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0035736,C0162638,AUGMENTS,"RNA, Viral",Apoptosis,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0035736,C0887840,AUGMENTS,"RNA, Viral",Nuclear Export,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0035736,C1159342,AUGMENTS,"RNA, Viral",Secretory Pathway,nnon,celf,1,AUGMENTS_NNONaugmCELF
C0035736,C1160692,AUGMENTS,"RNA, Viral",virus maturation,nnon,celf,1,AUGMENTS_NNONaugmCELF
