cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0162326,C0003261,AUGMENTS,DNA Sequence,Antibody Formation,nusq,celf,1,AUGMENTS_NUSQaugmCELF
C0162326,C0010813,AUGMENTS,DNA Sequence,Cytokinesis,nusq,celf,1,AUGMENTS_NUSQaugmCELF
C0162326,C0206430,AUGMENTS,DNA Sequence,Antigen Processing,nusq,celf,2,AUGMENTS_NUSQaugmCELF
C0162326,C0887840,AUGMENTS,DNA Sequence,Nuclear Export,nusq,celf,1,AUGMENTS_NUSQaugmCELF
C0162326,C1622501,AUGMENTS,DNA Sequence,"Migration, Cell",nusq,celf,1,AUGMENTS_NUSQaugmCELF
C0162326,C1817908,AUGMENTS,DNA Sequence,Cellular Immune Response,nusq,celf,1,AUGMENTS_NUSQaugmCELF
C1512886,C0010813,AUGMENTS,Internal Ribosome Entry Sites,Cytokinesis,nusq,celf,3,AUGMENTS_NUSQaugmCELF
C1512886,C0162638,AUGMENTS,Internal Ribosome Entry Sites,Apoptosis,nusq,celf,1,AUGMENTS_NUSQaugmCELF
C1512886,C1157569,AUGMENTS,Internal Ribosome Entry Sites,viral translation,nusq,celf,2,AUGMENTS_NUSQaugmCELF
C1517336,C1155874,AUGMENTS,G-Quadruplexes,Cell Cycle Checkpoints,nusq,celf,1,AUGMENTS_NUSQaugmCELF
