cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003174,C0023884,AUGMENTS,Anthraquinones,Liver,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0003695,C0023884,AUGMENTS,Arachidonic Acid,Liver,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0010467,C0023884,AUGMENTS,Curcumin,Liver,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0015688,C0023884,AUGMENTS,Nonesterified Fatty Acids,Liver,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0022924,C0032225,AUGMENTS,Lactates,Pleura,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0023779,C0023884,AUGMENTS,Lipids,Liver,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0023810,C0007776,AUGMENTS,Lipopolysaccharides,Cerebral cortex,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0023810,C0021853,AUGMENTS,Lipopolysaccharides,Intestines,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0023810,C0023884,AUGMENTS,Lipopolysaccharides,Liver,orch,bpoc,3,AUGMENTS_ORCHaugmBPOC
C0023810,C0024109,AUGMENTS,Lipopolysaccharides,Lung,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0023810,C0736268,AUGMENTS,Lipopolysaccharides,Liver parenchyma,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0023810,C1882561,AUGMENTS,Lipopolysaccharides,Rat Aorta,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0023810,C1882727,AUGMENTS,Lipopolysaccharides,Rat Lung,orch,bpoc,2,AUGMENTS_ORCHaugmBPOC
C0023828,C1278908,AUGMENTS,Liposomes,Entire lung,orch,bpoc,2,AUGMENTS_ORCHaugmBPOC
C0024727,C0024204,AUGMENTS,Mannans,lymph nodes,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0024727,C0037993,AUGMENTS,Mannans,Spleen,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0025641,C0006901,AUGMENTS,Metergoline,Blood capillaries,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0025677,C0021853,AUGMENTS,Methotrexate,Intestines,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0031923,C0005854,AUGMENTS,Pilocarpine,Blood - brain barrier anatomy,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0032604,C0024109,AUGMENTS,Polystyrenes,Lung,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0032611,C0229304,AUGMENTS,Polytetrafluoroethylene,Helix of ear,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0034140,C0022646,AUGMENTS,Purines,Kidney,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0036681,C0006255,AUGMENTS,Sepharose,Bronchi,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0036681,C0040578,AUGMENTS,Sepharose,Trachea,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0053526,C0005682,AUGMENTS,Bethanechol,Urinary Bladder,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0055738,C0015422,AUGMENTS,Eucalyptol,Eyelash,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0061751,C0024109,AUGMENTS,Glycyrrhizic Acid,Lung,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0065264,C1186763,AUGMENTS,Luteolin,Stem of Organ,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0073096,C0022646,AUGMENTS,resveratrol,Kidney,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0074992,C0027442,AUGMENTS,sphingosine 1-phosphate,Nasopharynx,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0142831,C0024109,AUGMENTS,sodium dehydroacetate,Lung,orch,bpoc,2,AUGMENTS_ORCHaugmBPOC
C0212364,C0599854,AUGMENTS,clozapine N-oxide,neuronal circuitry,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0298130,C1552104,AUGMENTS,montelukast,Mandibular left third molar distal hemisection,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0525678,C0024109,AUGMENTS,rasagiline,Lung,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0600556,C0022646,AUGMENTS,Oxaloacetic Acid,Kidney,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0721062,C0005682,AUGMENTS,InFed,Urinary Bladder,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C0965594,C0024109,AUGMENTS,resiquimod,Lung,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C2728259,C0581755,AUGMENTS,Program,Skeletal muscle structure of trunk,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C3267761,C0028977,AUGMENTS,B-Natal,Omentum,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
C3267761,C0178784,AUGMENTS,B-Natal,Organ,orch,bpoc,1,AUGMENTS_ORCHaugmBPOC
